, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1574938304, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 1000.0000000000001
0, 0, 0, 1574938477, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 10000.0
0, 0, 0, 1574940330, 0x39925dd94671970b23220cbd5b1e8ed5dd521f15, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0.0001
0, 0, 0, 1574940928, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xa450f85dbd67af714ea16a86982223231164fd23, 1000.0000000000001
0, 0, 0, 1574941065, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xa450f85dbd67af714ea16a86982223231164fd23, 4501.0
0, 0, 0, 1575016224, 0x4b89836e6b7749bb97b576339060436186f96ab4, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0.001
0, 0, 0, 1575465771, 0x83053c32b7819f420dcfed2d218335fe430fe3b5, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0.0
0, 0, 0, 1575684659, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xd7a1c15fcb970dd45d1af03ff2e7c6147dd6c2e2, 1001.0000000000001
0, 0, 0, 1575700406, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xd7a1c15fcb970dd45d1af03ff2e7c6147dd6c2e2, 4000.0000000000005
0, 0, 0, 1575967784, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xd7a1c15fcb970dd45d1af03ff2e7c6147dd6c2e2, 400.00000000000006
0, 0, 0, 1575969387, 0x99ba2bad6da0503e00786375daa9e9554720aed2, 0xd7a1c15fcb970dd45d1af03ff2e7c6147dd6c2e2, 97.998748
