, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1576316665, 0x443c1d93b8501702fa4c025932c167d92fc239c7, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 1000.0000000000001
0, 0, 0, 1576316708, 0x83053c32b7819f420dcfed2d218335fe430fe3b5, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0.0
0, 0, 0, 1576399532, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0f17fb7e1fa3cc659dd6c6675a0ec742fa32c4e6, 1.0006300000000001
0, 0, 0, 1576399718, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 1.0
0, 0, 0, 1576399824, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c, 10.0
0, 0, 0, 1576400671, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 10.0
0, 0, 0, 1576400881, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 1.0
0, 0, 0, 1576401369, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 20.0
0, 0, 0, 1576402282, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c, 20.0
0, 0, 0, 1576402331, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 20.0
0, 0, 0, 1576402519, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 5.0
0, 0, 0, 1576403161, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 30.000000000000004
0, 0, 0, 1576403692, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 10.0
0, 0, 0, 1576403893, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 30.000000000000004
0, 0, 0, 1576404445, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 30.000000000000004
0, 0, 0, 1576413445, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x0fc573e868203fa445508b3f260a5f5829902bcd, 30.000000000000004
0, 0, 0, 1576413504, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c, 40.0
0, 0, 0, 1576413545, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 20.0
0, 0, 0, 1576413865, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0xffbeae211e87c231e905b34699149a918a5e370f, 1.0
0, 0, 0, 1576416151, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 5.0
0, 0, 0, 1576417117, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 10.0
0, 0, 0, 1576417384, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c, 40.0
0, 0, 0, 1576418473, 0xb3dda02bbac2f0e6b0fbdd39107a190498295c62, 0x05a66de2e3f5740aa09eb96da6e1e9c6a0f43495, 10.0
