, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1574938630, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 1000.0000000000001
0, 0, 0, 1574938742, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 10000.0
0, 0, 0, 1574940349, 0x39925dd94671970b23220cbd5b1e8ed5dd521f15, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0.0001
0, 0, 0, 1575018162, 0x4b89836e6b7749bb97b576339060436186f96ab4, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0.001
0, 0, 0, 1575465771, 0x83053c32b7819f420dcfed2d218335fe430fe3b5, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0.0
0, 0, 0, 1575971904, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0x2c182757728039f2640a293d2b3111b964297157, 5500.0
0, 0, 0, 1576028654, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0xd2b5383854cf2fcdb75bfc5b280defbf5121c1d1, 5450.0
0, 0, 0, 1576225137, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 10.0
0, 0, 0, 1576225488, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0xd2b5383854cf2fcdb75bfc5b280defbf5121c1d1, 52.00000000000001
0, 0, 0, 1576253643, 0xd2b5383854cf2fcdb75bfc5b280defbf5121c1d1, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 1.9925906666000002
0, 0, 0, 1576254016, 0xc0f1aecbad7212ff19905fc6a03f32ac8d752ed3, 0xf4678169b1eb0c141fd99942ac02191145fefe3f, 9.9920736666
