, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1575643669, 0xa6ddca42b0da82fca583f0de55681eb2bef9cce5, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 1.0
0, 0, 0, 1575643798, 0x83053c32b7819f420dcfed2d218335fe430fe3b5, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 0.0
0, 0, 0, 1575644609, 0x461c376c14aab2bbebaad2177a66f391d4b81215, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 9.999979000000002
0, 0, 0, 1575648038, 0xde0f174309a020982575ea7c7b0c59a045ed62cc, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 10.0
0, 0, 0, 1575649488, 0x2acffe3ac810b2d95ef22a9ac7e80e27fe20aac1, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 10.0
0, 0, 0, 1575650881, 0x50c846f92ee732c27a664aa2f7413c72d6778b35, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 10.0
0, 0, 0, 1575651724, 0x2b5e52fdf9dcfc97fee78230222becf59906397d, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 10.0
0, 0, 0, 1575652929, 0x7f7b75d53ab4b1de6a659d0f062d9cf99dadec68, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 15.000000000000002
0, 0, 0, 1575653835, 0x37fe62455584dc4d6c611990be55a7206ffb822e, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 15.000000000000002
0, 0, 0, 1575654993, 0xfeeb46f6ce0cf801e80849fe55248958b9be014b, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 15.000000000000002
0, 0, 0, 1575705599, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 0x4b729cf402cfcffd057e254924b32241aedc1795, 95.989979
0, 0, 0, 1575881763, 0x46f0c047e463bd4686f5f7813e74be174abb4ba0, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 15.000000000000002
0, 0, 0, 1575964838, 0xc1292d5598a4887b8eb5a557688f21f8f9661bcf, 0x4b729cf402cfcffd057e254924b32241aedc1795, 14.998740000000002
