,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x464311e445cbc970a8acb406375401d7307aa6dd0d07cbf6f327e5b3ba011edd,4916996,1516089376,0x26d57cef85af592a472747a72cfd27034e2a9d10,0x0ff45b925f88ac6ea0320e3e066aad7383113306,85.97436164293647,NULL,0x,0
1,0xc7998770f8b77ba647632ce5b6fd88578085e41adcde3a3ddb21062bcb51d4e1,4916996,1516089376,0x77b0ba7a4989f33cb8724af3efdc62e2f77441ad,0x0ff45b925f88ac6ea0320e3e066aad7383113306,1.21315088,NULL,0x,0
2,0xf7f6b90be380a2ec6c8cc0840f67babd655941e79ee8587c06e95b7fde5dac0a,4916996,1516089376,0x8842244636cd53b7f48ec0f83d9fca73f95e3e1d,0x0ff45b925f88ac6ea0320e3e066aad7383113306,1.07579251,NULL,0x,0
3,0x3e66d71c283a74ede112b938ac5e8c8b43ce38e980c8ef92770bfa9ff41ba1b1,4916997,1516089380,0xe0885afac1cdbbb11c4d7aa2485473744694c994,0x0ff45b925f88ac6ea0320e3e066aad7383113306,18.988929,NULL,0x,0
4,0xdd4e5ca103ed7f4e99169dc214d41b922cb1105caf9b3390871272448c542a3a,4917133,1516091635,0x4afa80377ea04d54a4b1697b4b785d091e75821c,0x0ff45b925f88ac6ea0320e3e066aad7383113306,2.693552339000025,NULL,0x,0
5,0xe43aac27d07aa6f61ca60b90f5883f23a64229ff532e7ade74c4366a7e333c41,4917258,1516093401,0x0c79f1e1def6c9e61ceea883f53477d9726efc8b,0x0ff45b925f88ac6ea0320e3e066aad7383113306,152.150169999,NULL,0x,0
6,0x85ea32fbbc84e4e97698b7369540b100fbf5c79a0d4074464739c5a77a515d68,4917274,1516093581,0xdb17906c855a00cd97e6168ea056b722512c81b6,0x0ff45b925f88ac6ea0320e3e066aad7383113306,6.1995122,NULL,0x,0
7,0x7b8310633df28d47339bbd38df317a71cde65f01aadc75dd2185766175610bd8,4917278,1516093642,0x626e1fd9b7c07af6ab0636f8fd146099c2852f63,0x0ff45b925f88ac6ea0320e3e066aad7383113306,2.416504811,NULL,0x,0
8,0x8bf800a6563a9bd538fe983cbca7795c1decc2516efaa9d02f66d80f45281d0d,4917295,1516093868,0x1ab1febcd6059c9e48f475b8ff10b2a1eb620536,0x0ff45b925f88ac6ea0320e3e066aad7383113306,5.35842542,NULL,0x,0
9,0x286758946fad001e43748c7347d801cb146dbadfa22c3f7805b4040f4c3ce8ff,4917295,1516093868,0xf35b5ef579d66d1945133d9c199428cce1339b78,0x0ff45b925f88ac6ea0320e3e066aad7383113306,8.486929,NULL,0x,0
10,0xd0ff89988c8c349149fc24437aa65e7606eba5753caa5394f8301582e9f3f6d0,4917295,1516093868,0x89f1aa3a0ee5f09b6cf325c03783e63a0a547b43,0x0ff45b925f88ac6ea0320e3e066aad7383113306,2.02805253,NULL,0x,0
11,0x1c8176ae2c84d75f02f6439c3b2f7eae1718a64bed426598987d30552d71449a,4917295,1516093868,0x3848b7bbcb25dedd703608f377d335b11628fb59,0x0ff45b925f88ac6ea0320e3e066aad7383113306,4.998929,NULL,0x,0
12,0xa067c54cd407b9750da9338a04496f1c61e3b5ad698e9d0c4871ca86c17f73da,4917296,1516093876,0xa4c089a946fc73030611a1f15915876b61c3fc1c,0x0ff45b925f88ac6ea0320e3e066aad7383113306,1.35952886,NULL,0x,0
13,0x543428b4a784a225fe48f73ca6890b61e678c1120fc812a4a8927074a38f70e3,4917297,1516093881,0xd9971d2f9f33ae30d9abce95538e5a519a37a2c7,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.77785955,NULL,0x,0
14,0x901fc43fd07cb605683f5dffd721d874b50c5805dc49f63f1f33582b9d8cc212,4917410,1516095739,0x0f426d1a564ccbfd0d2ddeca4c52e581182b6afb,0x0ff45b925f88ac6ea0320e3e066aad7383113306,160.491612405,NULL,0x,0
15,0xb99723270944536f44d9bdf2be8c5c3e92df62bc3e15bf548fa41d313f1cb667,4917426,1516096055,0x9cebe95c018e2e746174e19487d659c0a6a93f28,0x0ff45b925f88ac6ea0320e3e066aad7383113306,1.488929,NULL,0x,0
16,0x6289cf11a38280743ec0a0124969b7d873110c22a7bc5d623f5b54ea12725c6e,4917426,1516096055,0xf35b5ef579d66d1945133d9c199428cce1339b78,0x0ff45b925f88ac6ea0320e3e066aad7383113306,4.743929,NULL,0x,0
17,0xec7d995254479aa9a93ac071389437278c9da03c2edd76e1682371ebe1e1c94c,4917427,1516096067,0x3d233dc8a235efca1507b450db3429b074f29576,0x0ff45b925f88ac6ea0320e3e066aad7383113306,5.993929,NULL,0x,0
18,0xdff1adf862c1c4393f563c885dd9d20946388b8ee564f7325977fcfc90850dfd,4917427,1516096067,0x7f5a66c1a2d7d8b39c17972d5bb33d70692c9cd6,0x0ff45b925f88ac6ea0320e3e066aad7383113306,9.870644809999998,NULL,0x,0
19,0xef13afbc5516d6f4934e5416a0fc0928bb9237d3db914ad21a3d7df4d0f39cb1,4917427,1516096067,0x1e8357d3a309364e6a80e95c2122b828460aaee7,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.43999811,NULL,0x,0
20,0x3f725aab0cfc277ab70eba9f70edbb3fcec6b27c8b7e1775900bbe4083ad2b72,4917427,1516096067,0x9d1fb6f3c6056330d5008c3409a38424f233533a,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.47322315,NULL,0x,0
21,0xad980abb469f51d36215a646c45241852a8d46a810afe43760b5de2ff80bc6fd,4917427,1516096067,0x715a5d750b89dea543140ba424e7ce2d29f73ae3,0x0ff45b925f88ac6ea0320e3e066aad7383113306,3.93212121,NULL,0x,0
22,0x7b434ac9cd9597b1d4d459dee42223d5779be743c79e93e40a418f4f20cb2fa0,4917429,1516096091,0x1756f6f4b006b999c8054b78d7d6597fa65499d4,0x0ff45b925f88ac6ea0320e3e066aad7383113306,7.24305123,NULL,0x,0
23,0x04f3a22c1f03b9cfcfa310ed1d878ff958152d568a69a17922df110177937ef2,4917439,1516096311,0xe33a1c156dd1724739939886767f0d19a26c4ee5,0x0ff45b925f88ac6ea0320e3e066aad7383113306,63.06534254,NULL,0x,0
24,0xaccba64c1782570172299e21536a91f3e58b31d46b80f148fbe2422704a65db2,4917442,1516096348,0x5a9a0fbee2341075fa1aeaacc38ee5ebdfadc36f,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.94635251,NULL,0x,0
25,0x039f64939b2142eb47ae89d8a0a06745865a3c1f8ec51e2c1d18560e75135161,4917442,1516096348,0xef3fc4223129e071944c900bb513575fc846a187,0x0ff45b925f88ac6ea0320e3e066aad7383113306,16.993929,NULL,0x,0
26,0x6a57c690af2b03cf79038dd7570d4b89558cfb55975cc60f6505c24d81d9c4df,4917462,1516096583,0x02e90402e579600841ef60e72ff1eeaa81a8db2c,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.44474834,NULL,0x,0
27,0xce37e9825e0fe50478befba635eefdaa84023e83394aea2a01025ef400b275ba,4917463,1516096600,0x0df83897e944c871091b9ea124df5ea7ddf85aab,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.9029995,NULL,0x,0
28,0x8d40130ad4f0e80b9e29557040a37ca4124c0c83edc2b3f14fdc52eb1ec3cc92,4917463,1516096600,0x2f4dfc5f0a11f6b3f88d7e1cd25bb2ee099289b8,0x0ff45b925f88ac6ea0320e3e066aad7383113306,1.56699241,NULL,0x,0
29,0xc783f780d6b4c9c7a7d9b2d7e67bc916888f0194ebb6676c08110e6f355a3c55,4919165,1516124053,0x6269bef094af4279f077024b9ed189c9d319af9d,0x0ff45b925f88ac6ea0320e3e066aad7383113306,25.238776552000033,NULL,0x,0
30,0x005e89f2f3765e31abe9c6fa06b9f6f5e59063d86851550d55569569c750c205,4919198,1516124462,0x6ef376434be13cea9d2b7086b50dfed16ef22769,0x0ff45b925f88ac6ea0320e3e066aad7383113306,12.864617354000057,NULL,0x,0
31,0xb2a9955b2798925799aaa340aa0a73ca4870f1d673c124f09a1f6cab6bca2fa6,4919199,1516124470,0x545a28ee2916253b3d2dccd0eb2ed867b354b919,0x0ff45b925f88ac6ea0320e3e066aad7383113306,12.998908,NULL,0x,0
32,0x5792b772ccd7da065da4e6681dea6618bfa8310b920940b0193f99ad189af020,4919199,1516124470,0x963ed387b51354a80917efc46d161aff6bc287af,0x0ff45b925f88ac6ea0320e3e066aad7383113306,10.963908,NULL,0x,0
33,0x919d58bc1f65b079299aa0258ec2ad6c9e982f0286aa0bdb0724eacd143bbc3e,4919201,1516124477,0x14402549ebb3c584e3bb7d47b65dbec7eb97abd8,0x0ff45b925f88ac6ea0320e3e066aad7383113306,4.998908,NULL,0x,0
34,0x2c6609ac1a5c33a236345ce755d0c293457cdcdf1d9eeb2d9c7684bf94b90ae7,4919201,1516124477,0xeecadd8f08f43986bd4b67d02bb86a753b91edc0,0x0ff45b925f88ac6ea0320e3e066aad7383113306,0.66391796,NULL,0x,0
35,0x7d5b69dd0e0ad34a463024839e19e4c6c4089318052c14cc53c52f4ee971b395,4919246,1516125070,0xaf1df8031895df3273df9310b0bfa31442779b01,0x0ff45b925f88ac6ea0320e3e066aad7383113306,60.641584352,NULL,0x,0
