,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x1751f6091ea984facb59dc4acbeb5141785fa79b12fec35c42806d430adea416,4033505,1500270704,0xf40ef5b533720665b27d97c1a9ff0a99b5ac19e3,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0.5,NULL,0x,0
4,0x3acee8a1c343b28574e187bfabba624928139196318813a9f5fb5c52d9b44a81,4061239,1500793054,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,6.280445,NULL,0x,0
5,0xe863a8fee7ecd1cd11e60cce029da90c1cac1dfcac97c30feca62629c25ae5ba,4067030,1500901195,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,5.0,NULL,0x,0
8,0x0e3aff8f0bae9375d6307cc840d9a5e2c9d3000f1754dfc79d7a35f527aae479,4067889,1500917957,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,5.687458,NULL,0x,0
10,0x154c59e68b0155399a52100be0430d7c15fed2620fa0d6c28a3f71e775af6d60,4080665,1501155162,0xf40ef5b533720665b27d97c1a9ff0a99b5ac19e3,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,2.1,NULL,0x,0
12,0x1fba4af368d913a2912bd47ed72174c4c10aebaa8a281f89ce1a23ac9f237e4d,4080910,1501159274,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,6.37971839,NULL,0x,0
13,0x0019cc77646ef22f22cc293ccd9367817b83f9520365d23ef0497ce784e19cfb,4080919,1501159454,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xccc4df2200caf0b59bef68a008953b0a991d4b79,10.0,NULL,0x,0
14,0xf0bedbdc29bb62d7683de0a248ff211e423bb733f885c6f14213a1a5ae34a8f1,4080973,1501160505,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,4.19665141,NULL,0x,0
15,0xfdefc63209f0959999262ae908c8319e0d47f9ad888b095052dadeffb8ff57e6,4080989,1501160809,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x9ca4c6063c00f36304c09c6b3961e7fbd53a4c8b,9.9,NULL,0x4fa51a3979044f928a79f4ecf709,0
18,0x175b15cbdbc78fe6174631fdaee9888af81d9b17192b0c818f714120bd763f1d,4119076,1501917423,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,9.495,NULL,0x,0
19,0xb5be1c2b04846beac63c829d6cd22bfdef25dc844d63602d927ea10ca77fb078,4127463,1502096977,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,9.7,NULL,0x,0
20,0x8c0870770776e1e87fc288a2b22b21347e2e855d060a3bd2690afdf3fdc4fcbd,4127474,1502097225,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0.02,NULL,0x,0
21,0x9e72f45cfc1beeef959ddf7d4c61ee6f22724f94e43e5b1d803b9bc90e338ec5,4132020,1502193101,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0.45529098,NULL,0x,0
22,0x2d7859dd9fe4748319758eca1792787f1318706590c25b692814a0e3f6625553,4132043,1502193649,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x5f6a9a1b4587759dcfec19f6c8e207e73ed988b8,7.0,NULL,0x,0
23,0xf1b68300dd43d82f15331a3c090c4d44722d79ef5cb6e6f4228c46f4dd4f1853,4137486,1502308617,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,12.0,NULL,0x,0
27,0x54cd418245127241cd341869f17bbc5cb6d182b87b7a74d3f88fe1a893a602ab,4139546,1502352322,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,42.73578027,NULL,0x,0
28,0x3007ed9b80a87d515a273f038fbf3c65da7a202c3e5329eec88f349156016958,4143137,1502429192,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,9.968503750000002,NULL,0x,0
31,0xa3bc6c8cd6146259ee69b3d30ba967596235325d276951373dfe36e8883c9018,4143290,1502432403,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,10.96141526,NULL,0x,0
32,0x9ca7202475371df3d9f6ed5baeb552cdd0583af782414427c661e65244b68e1d,4144297,1502453208,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,5.17052875,NULL,0x,0
33,0xce9cbe471ddc2d48373a57aa618611fe1d4d75e3ac77b372d5a7c65208fecc2a,4149271,1502557187,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,20.0,NULL,0x,0
36,0xe77400f68a39898aefb05bdf820ab7d6c453c2d776908eb9298e5b7a428ff40d,4149397,1502559686,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,30.25232313,NULL,0x,0
37,0x1805ffdef658cfad33b058d317d7e8d93143744c214548d54a5689d582ace45b,4157186,1502723176,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,20.0,NULL,0x,0
42,0xab86a5b5d2942393c1a1a3bb8f8da86d116504a3bcca05b690cc4180606b9415,4161184,1502806721,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,19.949706470000002,NULL,0x,0
43,0xf71833b548bea9aa645080904826316f214ac5d7c8f23ca5b56e03feade1e8df,4161470,1502812685,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,6.67722,NULL,0x,0
44,0x91336cdae8b39cad4972f25e156b2b8339c6f81e5751049c2ab38c724cbea05b,4161485,1502812971,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xb9fa876449460d9433c9f78e0a2ea576d2677fc6,6.685,NULL,0x,0
45,0xa4f1d7fd3ab35c2d4e8ddd923bc716fa4fb6d28787c9b225904a5d3d7c05d17c,4161498,1502813197,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x522bfe4e9182e1689dc06a2c0a767196038ae897,6.685,NULL,0x,0
46,0x6c83638c2dc6c56fe9ffd40365f131e0ea4ff3224cdffe0ae3e1777aa37a9616,4161524,1502813739,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x3ddc75311637b1eba20e5633025b02316b8c0f93,6.685,NULL,0x,0
47,0x4ca2b47333a7a0980b6b7776c1add404daf4d4b826b41239d0617d9163c4d7d0,4161531,1502813798,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x585d0c0097832cac4eedf0c3d793ca3387bbed9f,6.685,NULL,0x,0
49,0x60567ea590d57a9809f8bb6aa2c9888a10733692fc8a7734c9a894d61317e6c5,4162187,1502827800,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0.5,NULL,0x,0
50,0x3bf48c72e155bbbe1af995558c4e449709c2e7c65d8dc5ada514eaeebb226a1b,4162390,1502832054,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,38.5,NULL,0x,0
51,0x647f5234af350b6a92c868c7c391ae534131e56d6c08cc664d6de94739372b4a,4165039,1502887168,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0.1,NULL,0x,0
52,0x14f279f4d9a026d7719e464d254143b1066f20610fc62d0fc35fb9a1b1ec82d5,4165128,1502889391,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x522bfe4e9182e1689dc06a2c0a767196038ae897,20.05,NULL,0x,0
53,0x25b59bdb7bf8a7fa9d8ec5e2e77ef7d0bbf5efb475762cb85cb1fff6fe4668cd,4165131,1502889521,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xb9fa876449460d9433c9f78e0a2ea576d2677fc6,20.05,NULL,0x,0
54,0x8d9d9ad19172137e8d9dbe65f7793eb44bdc9b9937541aa59f0a84f2c51e8e03,4165142,1502889767,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x585d0c0097832cac4eedf0c3d793ca3387bbed9f,20.05,NULL,0x,0
55,0xb642f532ad67db401560ffbd62033a6e27dbca5fca5212f08af8a392193d8299,4165642,1502899978,0x585d0c0097832cac4eedf0c3d793ca3387bbed9f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,20.05,NULL,0x,0
56,0x405a76fdcb747ea74f1951f17678e47dd0f3f762cf4dfe94e40d753ccf23f3c9,4165652,1502900309,0xb9fa876449460d9433c9f78e0a2ea576d2677fc6,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,20.03,NULL,0x,0
57,0x79259fb0ab241edf550a68d88a1f91cc356138c14836bd59875da0fa6ecce17e,4166205,1502911230,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,19.8,NULL,0x,0
59,0x04b2d297e1e4d723c1589faa230efae7babc33cd00d96650d2a7d38fdb747891,4170930,1503009479,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,15.0,NULL,0x,1
60,0x81c886ee545a8c02b3f284b2294ad6d9678c5b8444421bb2ac41667166cfccbd,4172346,1503039954,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,12.53744,NULL,0x,0
62,0x1747d0e184b13029f392d98c7f03f9604c69b7cc3b9ea859039856e4bbc25dbd,4174562,1503085405,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xed5b940de6f21fcc6d1168cb78590f9ab6cd2ba6,16.67,NULL,0x,0
63,0xc58be6852f53c30793c0bce69a534d213473241223db0851d21685c74a55c1ff,4176529,1503125979,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,34.08644228,NULL,0x,0
66,0x7e1570fe39b00d50708fddbd17319d5fd8390a0a2be66b28fa3c00888c710d41,4176590,1503127215,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,44.8159292,NULL,0x,0
68,0xf7ef3eef8937ceb151a9657399e0d57d587e2fa481fabf88869bbb6245dfbb35,4176642,1503128034,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,14.57499977,NULL,0x,0
69,0x04b9f29121975a8e319825319c00d6d5c60f7efb5bf37df11c91e0e2f16e221d,4176776,1503130947,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,7.6564259,NULL,0x,0
71,0x5e1b7f293e5b2a92496a4d9dbb848a74328d0497dbd4f30220b2961281ebf829,4183013,1503259593,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,6.71210917,NULL,0x,0
73,0x8cc9934c36f86f7968a90746e95b3f330ef32520a33856fd725e76929136ad1e,4183344,1503266513,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,2.85275888,NULL,0x,0
74,0x04a4f6123c3de72f47597e52284a434600997245dae18af151a9ee3303d59d7c,4183435,1503268506,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,3.84573841,NULL,0x,0
75,0xc933251428d1a2821255856b6600e44fda2e687392d03cdf31f05dcc54164512,4199674,1503602689,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xccc4df2200caf0b59bef68a008953b0a991d4b79,25.02,NULL,0x,0
77,0xcc3cd3bccb894528f795c696ed12d02f3dabd70df068dc60606560bd1babfe6f,4217880,1504047462,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,75.0,NULL,0x,0
81,0x5286d817b4ee901783855a8912ec2632d7a8ee4490634669b66e20dc81cc0d01,4217979,1504050091,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,75.20089053,NULL,0x,0
82,0xcf96edb48bb326a664750a7bc3e125379e72f7474944117f79e875cf338cd81d,4220424,1504110877,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xa32b4147ae55e1150b94cb07e65ec60ed8aea421,25.0,NULL,0x,0
83,0x6ff7b032a56109b662f66dc59e75ec4246a5f635cbed20337a127becdd32c816,4224583,1504213114,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,50.0,NULL,0x,0
88,0x82bed125da1371e8e8602f4f663b7ef494b5c65ee9c1a497b3ff492fccac9279,4224733,1504216699,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,51.07608022,NULL,0x,0
89,0xb59b0815bd490bb398255a4c6095d715265e9dbf0cc30fbc151b2bc3a315f297,4238150,1504544311,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,10.0,NULL,0x,0
91,0x1796f1723172df7898ef06a99d052ddeafaf7afa00fc7b50665912579db7d86f,4240618,1504605037,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd267b5fbee37847294daaf76602ac2a8e0b989ec,10.0,NULL,0x,0
92,0xc8f6ad0ea4fddc9c68de496383a019048081347dcd65740c7d368331f9d151bc,4240938,1504612700,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x91c94bee75786fbbfdcfefba1102b68f48a002f4,25.0,NULL,0x,0
93,0x68e943889e20320e0ca505173de56150e123a7ebde4debe3559b88ce7ab9c04a,4241502,1504627167,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,50.0,NULL,0x,0
96,0x8a5d19fc337ea8d159b403ece04c28b7658ac61388deb06fc91912d3eded06af,4241569,1504628734,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,48.496925250000004,NULL,0x,0
97,0x0acef9a7cf720099d0afe0fd4431a133248e78bcf0ce967311aae2ba4e4044fb,4244461,1504700491,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x597e532e9b059b5ad87efe8710908538aac7c592,7.5,NULL,0x,0
98,0x9c81e4b7255587128a03a54216730246401e172292cd7f72cee4599a96eeffc7,4262498,1505137521,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x0a1a624910c6fe51186712b7211600c4d96af3f3,20.4109,NULL,0x,0
99,0x160f26988dbbfd444c86ef1ecd76c15e0fb2f86cd8b6704ea0c111c9d2c263fe,4263391,1505158311,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x20e33885f8b6a3c8ff8ac450e894e1767616a353,15.0,NULL,0x,0
102,0x657490b9eb0c8cbe37027b84acad40fbdee37a4d8aa5bd3c8090d74f173c8d44,4266629,1505236435,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,13.826847489999999,NULL,0x,0
103,0xc4684aa30bc32729892fdf2cf453c27e18a34186530c2b2732ab707f46d26d3e,4268853,1505290296,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x340ceff31f3f690954d579ab3017537a9cc01398,10.0,NULL,0x,0
104,0x8abada340dae44f419f0096618b650b131d7b7841ea434fb181697684337c956,4268902,1505291414,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x8bfe5ebb128ee82f4ba80f56bb32409cc87bc6fb,10.0,NULL,0x,0
105,0x7c81bc69fe8d0279e045768dec9e2a95bd8c34dcd8f67be5ee8d19f1abf4d939,4275886,1505459843,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xd6cd31f283d24cfb442cba1bcf42290c07c15792,3.6,NULL,0x,0
106,0xbf36965316ac275ce1f6016705123001ec5ab4b8e5fdaaf8057b29c3292ec0cb,4275900,1505460248,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x6417b5189da21b7a0edc56a57c765b3eeef1a76d,3.62,NULL,0x,0
107,0x03f4f071ecf5f1d241e4992c8cdc3e6247b864186d0a893c5a253008e9412c62,4275917,1505460588,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xc1397f96fc1b30843468eb76086c8bf09d4d0f62,3.62,NULL,0x,0
108,0xc4018ac0e60756e55bcec59a9c319f8771d1b2b1d6df4d2be47799eab38c1276,4275925,1505460760,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x3c36ff3f76fc6ebb57d368d4af8d1222b97aa880,3.62,NULL,0x,0
109,0x62b9548f9bcd1aeb17acd29d5f8ce54d28749b7bace34a17ae0bd0cfcde0abf5,4275932,1505461189,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x1cc97c00451d7dababdbf4beac63e1e4f38baf24,3.62,NULL,0x,0
110,0x2d75d53ad95243601a73dbe741394a40320b6b8366fdc85842d852e92cf3137f,4275942,1505461485,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x630eed17be6fb2c4ece0750a63fc397a79a998b5,3.62,NULL,0x,0
111,0x68626119e9ac7ca155bfbcee27b37f496df2df9a8f4771294fa2f9f8e4921751,4275950,1505461706,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xe468fc1706fca685e0524a2a22aa1ba1303baeb1,3.62,NULL,0x,0
112,0xb0cd4ef0ad13dc5aa6e8c59fc6d82eee32b805aadc4b737689a666490f61c08e,4275952,1505461909,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x894689323053a984542d0fbc835d4370e8818ad9,3.62,NULL,0x,0
113,0x8df534a9880d2c19256d1f8c44002e272efd202ad47e74a010b25980ebe7e5a2,4275958,1505462048,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x7158c693423341d44335f6419ae2316279126b0b,3.62,NULL,0x,0
114,0x1a9876a3ebcba7fa031b1e7735350d7b1d9c8e44656c477499775354e1be5b6a,4275965,1505462264,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xffbcb3029a531d812b697afa88135a84fa51e8c1,3.62,NULL,0x,0
115,0xdf3e74962d323ae33d209388e15c56b69c5c491627b598a5dd4a5d48fdd7d6c0,4275971,1505462401,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x1247a9af8eb5212ed5e9f753be20c8da3d8eedde,3.62,NULL,0x,0
116,0x2a5e9752e70c593c07debd03458e2fa0794a2b5b02aa38d3cc400b9f464e3d6f,4275975,1505462474,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0x14459a54fb127a00ce6f437f9b170eb70b213ad7,3.62,NULL,0x,0
117,0x2cd00c2d9fdf038f3ac90d3110317b3c1b9d855dd6e28954a3af85d711ec2c48,4275979,1505462557,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xe5a65b0fd05c80742c90c791f337c8f5c788bb6b,3.62,NULL,0x,0
118,0xb0859f252a42ae7eec118bc41511a4900b7305e078a8dc0563cfa141af2858eb,4276005,1505463049,0x522bfe4e9182e1689dc06a2c0a767196038ae897,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,5.4,NULL,0x,0
119,0x266d7b604a80722b2f3ba5462728dc3be106f4801dd1e71f2a34c599a9d78d45,4276010,1505463161,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xaa911954923b3d4778e0412104d8c749b243d72f,3.62,NULL,0x,0
120,0xf7060ee3e800a425c4af6179b7cc58ea7d4cb3f1adf9b09ea1ec8c0f0c7b680e,4276014,1505463211,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,0xc8a6491d381ff0413cb084fb6a8faa3f46605f36,3.62,NULL,0x,0
122,0xc611429ab1053f83225df48bd68eb238bfd721aee8d2ae132b8c4f4456a0be8e,4281390,1505592276,0x8271b2e8cbe29396e9563229030c89679b9470db,0x16587ca7d75b9f57bc240f3d09735f8a067377f2,9.84175042,NULL,0x,0
