,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xd99f92a98653c6ee51b158f4f2bc8179161551d2199ce70ff4c28d71dfe90af3,5146730,1519459273,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,6.99,NULL,0x,0
1,0x640aa93cf6aaa1dd312ff4f60a3aa6d142553005188fedb20c3d33431804b232,6828810,1543988307,0xe097310393b5d88cd13270d75020bef38b6548bc,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1.0,NULL,0x,0
2,0xecfb60d938f21e808be2173334f7ce97fc6ed8d014bdbc94ee9487ec22721cf5,6828845,1543988743,0xe097310393b5d88cd13270d75020bef38b6548bc,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,49.49339139999999,NULL,0x,0
3,0xae4fb625c17235f05110564d5d2f13a345b8d4bf0173cff84d3a60ec42cdffc1,6828975,1543990656,0xe73f450a1b1c393a53a6515a983eb5d187820133,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,0.99479,NULL,0x,0
4,0x59c18030772013fde5449bb75dc3bc8b19885cf96b7a667dc5b834f100f3ffe0,6928755,1545427108,0xe8ca0a887c5469aa20db873e96bec39dff63d18c,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1.154117774,NULL,0x,0
5,0x56f9b57d59580446eb2dab9e503b6816d054c84243870bdd9a6c4896e9dd07ff,6930695,1545455547,0xe901e2db9d5651728094ec48d1f6e4786f187b11,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,175.59401032,NULL,0x,0
6,0x23fdf4d347822639bce96e6a61921cec4f9eb1b0d1afd924532549f3cd2fef5d,6948674,1545718658,0x378b81ba4b3e616d5f2ce4b1038046adfc5ae6f9,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,54.05292608,NULL,0x,0
7,0xa0e15400f7ba027bf63b7f0b07015429f78260959b5764439a12d1ace67f0089,6970604,1546038295,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,57.45000002,NULL,0x,0
8,0x35977eb914b040186166cb52c8682fa4a895bd4c76d20decb4a8aa61e8d6ecfc,6972445,1546065243,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,100.0,NULL,0x,0
9,0xba83cc1c86794a475b6c30bb1da56dd3507f44a1d541a658241bc04e947b4f55,6972445,1546065243,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1518.653,NULL,0x,0
10,0x6522464803049aa6e02a35913e7aa5b5e2629cb908df5441d065355e35f90d00,6972498,1546065943,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1999.9950000000001,NULL,0x,0
11,0x1f59a8026702aad181bcdab9509fb52e77e26e2ed4c3b2874744f364e1fe70b1,7000807,1546479670,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1899.9950000000001,NULL,0x,0
12,0x791752efab249423436abe1bfb85cb0e1a71b87f604bf3c41b1bc6a82554aa64,7006665,1546570029,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,781.8994875400001,NULL,0x,0
13,0x471d73cf8dccc6d4f4c53d32b664b452427a9de40b984675b1e5997e1aef708a,7007364,1546580934,0xbd49a313ef676a7a4271a3fd72af48560441ccd6,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,1.4998236,NULL,0x,0
14,0x44ebfdf7191edfd40438cd3ac3673d00480293f3704018726dfbd823cdf97868,7007381,1546581212,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,0xbd49a313ef676a7a4271a3fd72af48560441ccd6,1.0,NULL,0x,0
15,0xe4dd0d41dae6bf2e84ca1e542a4078e5144228481c68022625c4099f3782c4a1,7007414,1546581720,0xbd49a313ef676a7a4271a3fd72af48560441ccd6,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,0.9998843152,NULL,0x,0
16,0xffed137aa21a758e7e4b9c7d6ea409b67eee12df0cc7da539202019398280294,7007430,1546581949,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,0xe93ce48a47db854462bb58c847d92bb726aa1104,1.0,NULL,0x,0
17,0x33c9515a1c1c50443143a8d27077a5c2d9b414e20caba2b5bd9e262c3f1cdf0d,7007603,1546584889,0x313fbd5a51318175e15f5ce4c677751059f498b8,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,0.74979,NULL,0x,0
18,0x6234614d140edb5ec956fb37add79435f15a324d7c91fff8b73e133fef460a2a,8278571,1564847093,0x33538b3808aa60f88d9564bc93e2f70b51e79a55,0x2f4e1c7e6ab014d87788f38a095aefad95f6ab9e,9.11e-16,NULL,0x,0
