,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xaa1ffd24eb86c3c2a5e90065bddc462866b9d39403cb4c55526be12ca63946d3,3488423,1491498324,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x3219b5065e35baa4003601b2576ff56d99c67d03,0.49,NULL,0x,0
1,0x72ba404b8fa7931a8615a43a3f2beee6ee9dfc0906ab8ec9ab22f3a038d242c4,3488672,1491502030,0x3219b5065e35baa4003601b2576ff56d99c67d03,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0.2,NULL,0x,0
2,0x5a4cc2d184a4dff0c2b271419f2db6bd92ef99dbfccb2db99d3d0f4c38b4306b,3488742,1491502969,0x3219b5065e35baa4003601b2576ff56d99c67d03,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0.12,NULL,0x,0
3,0x4b036ce2f238d19c6c31fa22de9d2df252cdd094072e90dfae73fbd49242f91b,3488748,1491503026,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,1.0,NULL,0x,0
4,0xbe41cd0f85474ea8284d3640a267be4e220f0a525004e7d422e1f59dbcf315d6,3512476,1491853310,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,50.0,NULL,0x,0
5,0x92d3e6b954d93edafeeb5d6195d50961fdfbf02ddaee042ed96b485a030a2fe9,3512536,1491854183,0x3219b5065e35baa4003601b2576ff56d99c67d03,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,20.0,NULL,0x,0
6,0x5b06ba31b99462f3186df441eac5b55101f64440de2c5b301067bf8f3ae4e9db,3512548,1491854324,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,100.0,NULL,0x,0
7,0xd3ead67dfef92bf81f4647341e6b56cea9cc46193da0ba62aa9ab215c5ee618d,3512569,1491854710,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,1000.0,NULL,0x,0
8,0xcdb0ae8fcf4e6daf9797a288d8ad9f12924e32a974eb25788af767b42b48de1c,3512603,1491855155,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,500.0,NULL,0x,0
9,0xede9e8ff3fff2cddd59b7683ef4b528f4cad667b24b5620bc2b22bf3ecaeafaa,3512621,1491855464,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,800.0,NULL,0x,0
10,0x931a31f3754818cb3bd92b9643043782f3c15671b4111610a3ad9fa370467661,3512631,1491855642,0x3219b5065e35baa4003601b2576ff56d99c67d03,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,100.0,NULL,0x,0
11,0x5673f12a17611758a5d37bc77769a20ec4c55869fb4c4e07d48ee38ad926d9a8,3512638,1491855765,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,800.0,NULL,0x,0
12,0xb3560970abc3ecc65a3ceb36881e78f7143128b380f4a30bb15fe5d7963645d3,3512658,1491856034,0x84dfa20abe34732bf1b71d6f9904270f85c952bd,0x3219b5065e35baa4003601b2576ff56d99c67d03,654.15511848,NULL,0x,0
13,0xe98a602782bd1b5b9e4cba82335d4e9822d82493b01a0e27382cb73782a4129f,3518106,1491936429,0x561469c92a94ddd47dce5fcc47ac4a89e0a21829,0x3219b5065e35baa4003601b2576ff56d99c67d03,0.1881112,NULL,0x,0
14,0xfc3c57936d0cf4b0801eedf088aca176ec01afd32975825bc945f9f36d24555d,3523234,1492012804,0x3219b5065e35baa4003601b2576ff56d99c67d03,0x561469c92a94ddd47dce5fcc47ac4a89e0a21829,1.0,NULL,0x,0
15,0xf0ee5ad0a01e88cac2936c049bdd8f361226736863bff2929a6bbc252c348f6c,3745338,1495400171,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x3219b5065e35baa4003601b2576ff56d99c67d03,35.995,NULL,0x,0
