,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xb779fc27597ef85e70d7fd23200ebc31d7f36084330a53144ceca238cf6c6ea7,3338662,1489328106,0xf2024e53f7e15b78918e5fd21a6a52541f24fa69,0x4501205a75f3e6a99f1320b802fda91fb5499b11,1.0,NULL,0x,0
1,0x14e965c0ca900f407133021ea9bbe136e9e8eb24c6e8cbb680860d68d60f3274,3338695,1489328689,0xeb806e2ebc6876e1e15423955f426e9fada37339,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0.999559,NULL,0x,0
2,0xaf2c72b3172fa3922cacdf751d64d265ac4422c979cfbf9cf14a64edafd87bdd,3338695,1489328689,0xe38cef5f034ed939f53893af79dac466d54bb70a,0x4501205a75f3e6a99f1320b802fda91fb5499b11,1002.3282705,NULL,0x,0
3,0x7deaad6c6925314f389cedf0df1c3b5449363d239ee3632735f61261b08a1282,3338739,1489329286,0xf2024e53f7e15b78918e5fd21a6a52541f24fa69,0x4501205a75f3e6a99f1320b802fda91fb5499b11,1500.0,NULL,0x,0
4,0x99d93787706f7bd105ec7e16fc0686568baffb738f309337fe6e3e2e09a28a87,3338814,1489330367,0xf2024e53f7e15b78918e5fd21a6a52541f24fa69,0x4501205a75f3e6a99f1320b802fda91fb5499b11,95.0,NULL,0x,0
5,0x3d2d63c90e1a149a8c49ac6a442b910fc9c4b35b61e7f05d42b651c801ab2377,3338853,1489330854,0x00004aba4ac63de11447e4e17aca83f0abb1fc33,0x4501205a75f3e6a99f1320b802fda91fb5499b11,561.6744458999997,NULL,0x,0
6,0xcf1ae0602ecb2ec340252d067196e36952f69d5522b9b416cb316e4ddd37fbb8,3338965,1489332587,0xf2024e53f7e15b78918e5fd21a6a52541f24fa69,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0.36173161,NULL,0x,0
7,0x833abcdb8d913d17519c0cebbb71649ccfb9969889681a1371460733850e0d67,3339002,1489333148,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0x00004aba4ac63de11447e4e17aca83f0abb1fc33,1.0,NULL,0x,0
8,0xd9502d5fe574311edf5450ecb08210c12199b6c4fc1e89e035fa54119e644814,3339067,1489334127,0x00004aba4ac63de11447e4e17aca83f0abb1fc33,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0.99810736,NULL,0x,0
9,0x56ff695af2143f3b0c423dde8ff578da1859d1261ed91ac0937ebc5716ed056f,3457423,1491047696,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0xdcce972354a6bcd608df9d0b862751373f193e62,1.0,NULL,0x,0
10,0xa72b3198e0fbce481cbb80cc5ff8baa12e5ce0960844350a898ce18e5cf6edf5,3457507,1491048823,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0xdcce972354a6bcd608df9d0b862751373f193e62,1500.0,NULL,0x,0
11,0x20f37a5b76299927235e2cbccf9a76a57eb655d1efe197d49a685d482c424eca,3462228,1491117574,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,460.42522464,NULL,0x,0
12,0x65dd3cfe0b36b3bb52c54d9ef39fc77565a374d9a975e780d4975dfb6f35cd10,3468395,1491210140,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,459.99,NULL,0x,0
13,0xea4fc0d4d812f57dc456f3e0fa205e8143201d2cdbc4f5619dabcd7ab7848468,3476023,1491318446,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,499.99,NULL,0x,0
14,0xaa139d11e130faddd20200846dd66941eb1ec25aff03ee47835e6c200317f979,3482145,1491407699,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,119.29481037,NULL,0x,0
20,0x280ce84cfba10321057311ba08698a74b46f4137a220c131e3aaa8917383bb50,3698099,1494650260,0x980905a4892f06830d419866bd86fa43a2e351d0,0x4501205a75f3e6a99f1320b802fda91fb5499b11,460.0,NULL,0x,0
21,0x226af28f07d622f98d54d4c644dba10c0c89995ba256bf582ca0b1bf96c4db1d,3699636,1494674219,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,94.60244829,NULL,0x,0
22,0x8b5b48f187997bc90e136103aa25236f121e328325a35c2af24004e97fc7fa08,3701350,1494700000,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,98.78142424,NULL,0x,0
23,0xb76de432fb6f4257a570ea2f4f5010792c05c7ffff4a6da570c6c87ba4ce3a84,3704631,1494752355,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,61.28102599,NULL,0x,0
24,0x2241aab8f9b9c699d3a7e8c017dbf59f239862582ccc193a44513c895c11c7ea,3705522,1494766416,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,36.80130452,NULL,0x,0
25,0xccb31e3cbbdfe911a65954532ff7b34513394540e46bf01cc4248667e3ced6c9,3728463,1495132641,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,185.74272427999998,NULL,0x,0
26,0xa77a434d70bac397e924a86e624dfc979f1fb0b6b2a4441d9a54f999dd5dee66,3730344,1495162028,0x980905a4892f06830d419866bd86fa43a2e351d0,0x4501205a75f3e6a99f1320b802fda91fb5499b11,2.582719,NULL,0x,0
27,0x233ecd5996f21b946678d284d2ace5607818528ba6d48c62c9f30b48e86fb635,3763561,1495689408,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0xdcce972354a6bcd608df9d0b862751373f193e62,139.0,NULL,0x,0
28,0x3c44aefef7a020c75970f568a0c39e061951b638fdcf97f649292d7df08f180c,3779797,1495946405,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,77.24624068,NULL,0x,0
29,0x26a481dafef2b5f474e4458d2c1a6c742ef397e13318b8ada87ebed13f01a38d,3790520,1496113797,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4501205a75f3e6a99f1320b802fda91fb5499b11,38.323291219999994,NULL,0x,0
30,0x376c2c803950ca5b35f4ca31323dc9a128fa0b10af861c20a8d36db926819614,3798481,1496238284,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0x00093b0be6a4f18cb7aff2e9b7812cc70b1498ad,1.0,NULL,0x,0
31,0x04879c55ee2fd6af7c78a07b8049c11419558054762b4a22babe77792e57770b,3798488,1496238394,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0x00093b0be6a4f18cb7aff2e9b7812cc70b1498ad,540.0,NULL,0x,0
32,0x9fb18fea13ae081944a9043aa793ec5466c4e693af651929f645305af95e1b42,3799633,1496256779,0x00093b0be6a4f18cb7aff2e9b7812cc70b1498ad,0x4501205a75f3e6a99f1320b802fda91fb5499b11,0.88,NULL,0x,0
