,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x2c317166bd8d58205a7a2a64e10cf204c248e852b630a030f38fa6a5632909a1,3291608,1488648764,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xed1d16112ef9129ff6b550392cb74f0f821fbd8c,0.98,NULL,0x,0
1,0xaa162454953f0723798fcd10a395a857fc1e7e46b874859feb39e2236b4b0ed2,3292022,1488654901,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xada93b636d6c3c0b6dd6f5568b1e4b16edf82533,0.015,NULL,0x,0
2,0x0a40c7bf4db2320310260a457e5dca9cdad1e1356cf8393bcc4a3f6e5ba33f6f,3292146,1488656853,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xed1d16112ef9129ff6b550392cb74f0f821fbd8c,49.0,NULL,0x,0
3,0xfa0167379e7a4e40249142a50fa3abd63c3ffbe7fc4c840b5e69519e371cccb1,3358896,1489620720,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x666a0af8c3d0aa777268eef93a9b0596dfe1ab1b,49.98122,NULL,0x,0
4,0x88d8e45e001711b0d76549845a9074b6fd78a73666634aad734ffea94c476c34,3430255,1490651885,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x7c3991b3d1e6a08aab13fd66d120cff3b376ad62,20.0,NULL,0x,0
5,0x4c47a3c18d600b5209f88664f95d6de87b83bfcc7db4e3b45d5e3df6fa376b56,3467098,1491191479,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xffc7eb753ca588745f9670add996b8ff50dc38d9,179.998719,NULL,0x,0
6,0x9e111eb933fc2fee0acbb644d51fec9ef0056d77c1e895a0ea0908f7ad644f50,3474807,1491300911,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xb02142ebfa976d748e53ea8de67d34bc1b9244ac,25.0,NULL,0x,0
7,0x1d2aa6f61c61d74a2c2b4c111392867fcb1fbf5c926ab6a77b37f569438fbbce,3507826,1491783509,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x8bbcab016fd4aa1befdb0a3b6e76eeb2878d2e5d,1.0,NULL,0x,0
8,0x3fbc977e3fa1a6042be7e939f66ef5545cbf2d56c0234419b80caf3c45f5aa77,3512174,1491848902,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0xe14ec56a4eb2062cf7534af328682f2667bed85d,23.99874,NULL,0x,0
9,0xba919b47f7005eb849cd3786c678fea7ef1be03b7d8358a9e13023835ae6616e,3555149,1492487348,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x63e1e615b675d4f9777113f089f93242daf60954,1.0,NULL,0x,0
10,0x89a50ba3a3c546b6fb7934dff8144b0a53e231b7abfecee16b37ec7343e96179,3555158,1492487501,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x63e1e615b675d4f9777113f089f93242daf60954,24.0,NULL,0x,0
11,0x7d33eb36db08e7c3a1cfdd298359e1f7876f445668652fbc6ff68cd666aaaf26,3657239,1494027818,0x47260348ba90c56c9c058d3c42db471cd585ca7b,0x4d8eb37ef2b7cfd035d6398927c98c6db6c5ca12,0.01,NULL,0x,0
