,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xe6f6aa8206e28c85ceabe82cd46693acec7d713c7f979361432d57e3d275f510,5976518,1531771199,0x9382daf6e47ac2e98941d47bbecc99e04a54fc46,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0.5,NULL,0x,0
1,0xa89c65f023ffe240ba5ebf4d043174b48b40095be295a2af9a8bff614a9c072b,6023704,1532465931,0x9382daf6e47ac2e98941d47bbecc99e04a54fc46,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0.5,NULL,0x,0
2,0x8a041faceaf004cf8845c269bc1141d29752ada9f8174ef1370e33d225f62f32,6147434,1534271631,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0.99,NULL,0x,0
3,0x80cd9e0445986769f6cb31b709ec22656ee5d59ee6d83f1538f70e8fbfd22789,6147932,1534278848,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,13.74631621,NULL,0x,0
4,0xe0a3dce3332de29050371b64569b3ae4985748cbc3709ea27974b3fdb1fb67f3,6153767,1534363598,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0xc2121607dd091430cff8643c32c2678689c3ef62,1.0,NULL,0x,0
5,0x0e59e355f732da4727211512f1ca5bd78f989faef81015e49f5e416b7002bcfe,6356532,1537304692,0x9382daf6e47ac2e98941d47bbecc99e04a54fc46,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,5.0,NULL,0x,0
6,0x7d5dda8f570e2557509ead12ef6ad56ee7f69482f98f469a36480dbe2de89a19,6356556,1537305243,0x9382daf6e47ac2e98941d47bbecc99e04a54fc46,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,90.0,NULL,0x,0
7,0x3c385d4547e8118cc4724ecb4935c8a8eb4443dde27603bf652ceaabcc511b66,6356562,1537305292,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0xc2121607dd091430cff8643c32c2678689c3ef62,19.735921089999998,NULL,0x,0
8,0xfd4a8a64e65cfbbda89afc4380ef608b408c1a153701088d8333daa272fdf67f,7056284,1547338645,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0x4313b9fa708fc1a142c2269723465cc3f38568f2,1.0,NULL,0x,0
9,0xd274766fd2db0ae32013364b6494c954811f76f741f631e7b53c5bf9b5d221d6,7056291,1547338822,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0x4313b9fa708fc1a142c2269723465cc3f38568f2,88.999916,NULL,0x,0
10,0x262372d29da71dd7bf01f7b77f3442126b6acd676a95f92589c99dee80461591,7194215,1549650870,0x7379b7562d9f4b86a710c2ae367f95d3e1cb89e5,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0.4,NULL,0x,0
11,0x797ad89936b8cf7c9118cb3e38f5bad1bb359391c6680e4d5209ea86aecbe7b2,7194328,1549652830,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0xc2121607dd091430cff8643c32c2678689c3ef62,0.08,NULL,0x,0
12,0x22a460ea3e0e89c802d95d73b41cdc6c3ea7f7f3007011e32be35e3a64d2ac79,7194334,1549652978,0x7379b7562d9f4b86a710c2ae367f95d3e1cb89e5,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,1000.24984506,NULL,0x,0
13,0xad1783c37778570daa6f0f6f205531a60b5a680bed7fb68ac79408060adb7e72,7271119,1551203406,0x4313b9fa708fc1a142c2269723465cc3f38568f2,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,1.0,NULL,0x,0
14,0x98814583690c3c254b077f6f20c92572f3c2384acf13b5f176c703134d25acc4,8492146,1567714938,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,94.26,NULL,0x,0
15,0xe6bccd6f0e9fa93bf909d2af1d638ab4d73a5788cb6b3fe637557cc737ed4d6d,8492160,1567715112,0x4313b9fa708fc1a142c2269723465cc3f38568f2,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,1.0,NULL,0x,0
16,0xe6307aa6463247640c40681ad5a8af3e33d645593e1bf37682ed4c8b7f00b62c,8492180,1567715405,0x4313b9fa708fc1a142c2269723465cc3f38568f2,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,100.0,NULL,0x,0
17,0x483104134104022f4a5a95568163ce540289a2cb4c07cc6ea0f053810189f979,8492185,1567715473,0xbd2fc88bc3ed263028aae8e75400f115ed54c33b,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,33.540242967,NULL,0x,0
18,0x45895c67bd263636e5d3879712a1bda597d798862349e0475810181a0a957c35,8492195,1567715585,0x4313b9fa708fc1a142c2269723465cc3f38568f2,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,9.604255712,NULL,0x,0
20,0xf0888fde031ef4644e732d12c62d38bd46e690647b30e6b6a1e36fee6e64170a,8535969,1568305515,0xea2fe8a0f57cd2ccb4259b673fb6542367b9b814,0x6f4be7925110d5ce7b826f3eeb21849ac055784a,0.999,NULL,0x,0
