,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x6cafb225e33df4eb480f70f88ca1a2b6a34029e8b5f333f2f122b05ec0aea449,5650429,1526884095,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,13.77425,NULL,0x,0
1,0x747f23e06ba14f950ab18af7c820ef34dcfbbde79e34bed0a2fd06456cd0bc59,5667763,1527150274,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,22.56513,NULL,0x,0
2,0xe5d66d42a2446d4bb866e3ca01d842e09ff90aeb62dbe5035197e3ed259feab9,5691512,1527513030,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,26.7875954,NULL,0x,0
3,0xd1df8c9194d1eaccb676f4edfed4c9451eb680d4df8d5db3653ddf9d5aa0cb01,5701053,1527658820,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,14.03512,NULL,0x,0
4,0x1e0a85a96563baea720e4169de0566793aa4d11abfd7f3868be331a2cb5ae798,5706285,1527740040,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,9.821788,NULL,0x,0
5,0xa08b8921eedf6d5ec1e654c8d2e160581f8cf99d2cb7e00138898ca1b56b1cc1,5722491,1527988332,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,16.11989,NULL,0x,0
6,0x430d816f3449c7b49f35ba6cdd8cc4e31948fd5a0d7e5973a679a0bf176feeee,5729985,1528103970,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,28.3097172,NULL,0x,0
7,0xe2d76d4e098b1a92523ea9156b1515b49e6066ea90cdfcfc9a41f03d76e08a44,5736794,1528207052,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,6.697848,NULL,0x,0
8,0x935627fa9827f5aeb82280a1c547bbee66c482271a0f05de3373c5bf8aa8b640,5740562,1528265284,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,17.16348,NULL,0x,0
9,0x4eaebc262d5f13fa42df58e2cd949cc4bebeb3540e1cf1011a5875c0ddab9a4c,5769378,1528707339,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,17.21596176,NULL,0x,0
10,0xf9dd741f575205bbe7e6f662ca5214db2856695aad567d6af1a47dc98f980be5,5774660,1528787673,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,5.863671,NULL,0x,0
11,0x0c1485396aca3c1c7de8c187caca8e7fb9375ed61ef992973765dfe2ac31e02f,5785789,1528955036,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,11.41743,NULL,0x,0
12,0xc1f052f9c8e8054056181028151ee5d4920008480c00698bb78cd84b238d1059,5792177,1529050777,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,21.8812,NULL,0x,0
13,0x9e199e72eac943fc113d33f2c33d525bda655729caeadaf4dd7b00ba09bc9aa3,5792192,1529051052,0x52e4f29ac7e98d9fddf6f284aa536e96a113a4c8,0x925ac948472099b47f0a0bbea97bdb8f79ff3c92,7.0,NULL,0x,0
