,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xaf8c67836a0b1c9c6075b66354675bda426cafdcfeee8b5693a7b74da4722c60,6734108,1542639165,0xff67596221be9cfddf007db40c999e4f156d31ed,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0.019029495718363463,NULL,0x,0
1,0x8a72232f8137cbfd0f56239523018b4adb01dce513cc065f46ac3609f0a4b103,6739580,1542717965,0x90cb9db00e5699f5a844eb265c30cca3cc95fd14,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,1.4053767778007762,NULL,0x,0
2,0x3941c9b648e880106014543cc9462b0f16cd579b598b21a6d5ab47c074f04821,6741471,1542745076,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x9d73bd1e0770b17be145c35690b720b28ecef96f,0.4,NULL,0x,0
5,0x772139263b6ebf8fa0af4d6de7a02735e8921ca4d114e3cc18699dab2d53af34,6742444,1542758888,0x9d73bd1e0770b17be145c35690b720b28ecef96f,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,2496.5930482919393,NULL,0x,0
6,0x931a10edca6651b5fda2a821a9c961bb3c30ec238b9016746c1458dd5d6a5d4a,7339980,1552201279,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x32118c33d59b4d7e8ab5e3810bb950bb360f1036,2497.5,NULL,0x,0
8,0x569b0003a6764b4a1a541f79ce93b4a941e9104591e4be624537b8ef2924236d,7399770,1553005817,0x9d73bd1e0770b17be145c35690b720b28ecef96f,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,1445.161479164839,NULL,0x,0
9,0xa2e153738aa4e0e46d3ef47c1dcabea3e935bd691ebe037375a28cb2cdf7d3ac,7407591,1553109739,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0xf42e8a421d14660d0efd3f315187d2bdf64bf862,0.1,NULL,0x,0
10,0x5f8793f516bb8a4424093126b4f22e13fc64832631d5e10fa436fa7fa92ea622,7407599,1553109800,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x58887b1acaa6b926a4134a11a2fbbc833abd7748,0.1,NULL,0x,0
11,0xf089fe2c6f0e48b7f69de5272ee9ddc59c81b2f7f82622f6be96fb06dafcb711,7410633,1553150775,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x5e0458e5cb07042e7165cb1975229efc5413137f,300.0,NULL,0x,0
12,0x0afb35d118b188abcad0879a7162d6a8ee777fab454ed0680fc08904012141c9,7439950,1553545295,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x5e0458e5cb07042e7165cb1975229efc5413137f,331.0,NULL,0x,0
13,0xf9143a3efeb23c64f3e5d0cc095b484407df0c9e7243f7fa080690f71f334cfb,7539898,1554893304,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x5e0458e5cb07042e7165cb1975229efc5413137f,312.0,NULL,0x,0
14,0x4b6aa80bb62b4307806eb5abd7d1a3649db4f99a3b320e60c358e963578b7768,7753891,1557775947,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,0x9d73bd1e0770b17be145c35690b720b28ecef96f,501.8,NULL,0x,0
16,0x9d68833e172b868c8a81325c6b3c18678d52c91cd966fcb0e304fd86a46e33cd,8170497,1563397359,0x9d73bd1e0770b17be145c35690b720b28ecef96f,0x92f3a6b978fe2c5acb333fa27567f8ff5841c74d,457.2335108934063,NULL,0x,0
