,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
22,0x6ef29c5693085987f60f6f1f183e69fe16011292cfce63e708031f13fb79cfd6,3691574,1494550464,0x3b42e88cbb15fd6c4d601311e59f0fd260b97932,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.001,NULL,0x,0
23,0x07fd65adb09392d82a4893742ac6807b22ce19eba849fdad24c39eb7bebaa38b,3833474,1496819387,0x5ed8cee6b63b1c6afce3ad7c92f4fd7e1b8fad9f,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,575.0,NULL,0x,0
38,0xe856c6e3e1c1455c0cb5b0c70a821c7ff0e62a940e87a7b62a2635dfbb4974fa,3873420,1497475680,0x4337136a12e83e355a0c5b4469d0566b48395a4e,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.0004,NULL,0x,0
39,0x21a681478b364e03ca4c0301e51fdcc9ecffc20b171db14071db103e31d89bb6,3934471,1498510054,0x8fed40cd0f0d6a288eed2ca216723162503c2d9c,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.5,NULL,0x,0
40,0x6617a7c3f4984b18fb0b15f9718d787ba022100ceca1a8043613082c53de17a3,4072691,1501005919,0xfaec53d2393e28e9920ee4478f386acead603402,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.001,NULL,0x,0
41,0xa93cb2b5423012eaf8269d0a325ba5d9654d0bff023a82c9fab895c1ca5ec5a3,4097015,1501456363,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,3.0,NULL,0x,0
42,0x8a4b5b5992f82de868d683ec333520115b520837ab027a99ce82d7241e34492d,4112070,1501767843,0xc9b5d60dd0002f8c731c52efa52ed8c8803696ca,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.06947306,NULL,0x,0
43,0xaaf655fe1ada01151a73c8ac2d03294c2cb9b83b7d61ef0259f9de636e642782,4125441,1502053632,0x289f08b6eefde44218e4e34c4a8e59984415702c,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.0001,NULL,0x,1
44,0x65f479c2ed64bb5aa42f9a6830c94555dab114ece56cf812d82c98e6db8ec32d,4134416,1502243485,0x1e6874029b2f668a36a15f05c7268a909d1377fa,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.001,NULL,0x,0
45,0x661295d4ce602c2de45675cda372529684808f4b5c1e4dfbc22d9ce0feed5887,4144570,1502458756,0x1514c7018e9c82f9020cc0fcabd7d0625af2237b,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,2.0,NULL,0x,0
46,0x2ee60ecce1514293d72e6953f05ffc8c524a2c892fd87b50a1ebbb0fd80ee048,4194943,1503505132,0x003f104281092ad0764e582a3f03029954fd444d,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.001632771307917128,NULL,0x,0
51,0x83fcca68f5bbbe6c1787014b1148e368113205d705f525d419ea70ab870920f0,4265684,1505213430,0x582cd69c7b35cfb654f089b214dd0e22a4fcc751,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,1.0,NULL,0x,0
52,0x7dca90de7676c52e1a5eebb7df81791d552769ccbb36e06972767d0e0088ba28,4294280,1505899870,0xc753ca58c3793ce76c0579ee3e6d1f9e050abc6b,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.01,NULL,0x,0
53,0xb6be6944484f22f7186b0d07ae3c134e3232849db45d337e9619481ed7a0e3c3,4294290,1505900129,0x837cb4b8f26b2c6013204fe6e29342d0e887a7d8,0xa34edd0e0223c2151b8408e3043b2f6edc564fce,0.01,NULL,0x,0
