,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x05ba39b92cedb19e57784ae48521b0093ab458bfa5e6ceb6df3bc2725c616ec3,6003280,1532167401,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,15.8128,NULL,0x,0
1,0x018580a66d802d016407c0464a876552cf028280f26578bafe92e4a72d15db6d,6003389,1532169104,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,79.1826,NULL,0x,0
2,0xa12c337e1f036c689390954bc39994b23323048ecbf1fc4dd58e2b21793c0123,6003478,1532170518,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,174.67569999999998,NULL,0x,0
3,0x92100fc43254e8dfff0af77a7bfa3762464dbdd56270402c57c42e5ca544dbd8,6003506,1532170986,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,16.1125,NULL,0x,0
4,0x13e4f591e3c9fe4623b5066d96ed8beedf2edd2f8daf136a24b1814205f92da0,6074996,1533214859,0x5f264587dc9253f40059f2bfce003359b3873ddf,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,82.83,NULL,0x,0
5,0xc38cb04f01d4d68ea382a53ae3c7ff966d9b4cc746ff28142aa1ff510560691e,6194215,1534954139,0xedc476cab2c54f4c890bf423dd5e8b633a986930,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,43.07,NULL,0x,0
6,0x9692b6c0d8624a00dd1dfc42ce90ecc5956e657f8b50cb6a39c7e36b18ae6111,6342971,1537110850,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,59.0,NULL,0x,0
7,0x8885a7b1f0c9cc58ba723c9d7be538be4d9bddaf4a00caf70e6c48279d04d468,6354210,1537271352,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,62.0,NULL,0x,0
8,0x728ab8add0ec5fcabda7447beac70e15e25b7116a343a60f8124c7deff96f828,6440752,1538500604,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,56.99,NULL,0x,0
9,0xdd6362c127088b8ca5c8cf006c3f6067d8108c1ab985f8e9729f69ff39d0b464,6726598,1542532987,0x564286362092d8e7936f0549571a803b203aaced,0xbd17eed65996dd027e7967f189f2f8ba0aa59f68,63.36547376,NULL,0x,0
