,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x99b9404c8b8d16c85674c4a3f3250a51abeb2eed99f1be347af102f470e3128f,5272064,1521300523,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.000399999999999999,NULL,0x,0
1,0x74698dd99c9572b740e608ebe940e7c38a9a2e2faddb85207aea7d30f6c5b77e,5306142,1521794299,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.0007,NULL,0x,0
2,0xdcf2588c4e1f647db9345ecc667ce26cd22210c0e3d523af44a5191ab710f957,5306437,1521798476,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,10.99897,NULL,0x,0
3,0x7dfb750f6cfc91e249b866bade024df800ba2bc7418696ca21eab3c19d8642ed,5306760,1521802855,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.09979,NULL,0x,0
5,0x7b224ea0cbe177e838187f21bdbccfcc5bdbd9e9f05759c731478d4edf36432a,5306928,1521804946,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.019581636,NULL,0x,0
6,0x0024ef45df1e981df39ddd8441728492ffaa91243ed0478e63d0769fcf750624,5306959,1521805298,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0x4687d453980f7da22ce8d2960c55045480edcf99,0.1,NULL,0x,0
7,0x4c0e478cc965c56c3bc4dfd24cf6d9b617a94b2b9fbaa5a8c757f1d9f72c4a39,5309080,1521835487,0xd33b3e12899dba622dc8b54746d821267c820dff,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,1.199,NULL,0x,0
8,0x8f8a8ef623dba83890cae8555007377f99f503508ab48f7c42816ece1196404b,5309126,1521836197,0xd33b3e12899dba622dc8b54746d821267c820dff,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.009000000000000001,NULL,0x,0
9,0x02ad506c9f7b1f848b3133bdb396c3270ea6103e6124cd1dbec2881bbcd2800b,5326894,1522091767,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.12346276,NULL,0x,0
10,0xa2611afe5bdf64fa2caac4246d73b2d9cdc78423c3b8f922198325a67566a658,5327056,1522094161,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.01258,NULL,0x,0
12,0x496245807c56336794222f85edf8c93bd64f400db584da0451952d9d6c2cfaaa,5329324,1522127444,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.002271893000000001,NULL,0x,0
13,0x4cf22d9be8c52684bf722b218448ac6256243151c08cfdac38fd1e3ee54e94dc,5330436,1522143620,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,9e-05,NULL,0x,0
14,0xb8f3f8fe964928f2e6701d4d86af0706665927f10395dedafcd403983118e971,5330622,1522146332,0x4687d453980f7da22ce8d2960c55045480edcf99,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0.000569269,NULL,0x,0
15,0x1eae79e17f83ba6e4879ebc7e2db5115b79359939674d1220d78d161f79255e0,5336552,1522232972,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0xd33b3e12899dba622dc8b54746d821267c820dff,1.0,NULL,0x,0
16,0xf8bce8311e6781e25f0c3c162c3c70ab201da17ab0a60de9448d6651ec371f41,5338969,1522267946,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,0xd33b3e12899dba622dc8b54746d821267c820dff,11.0,NULL,0x,0
