,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x42f5a2d924d7dd164f44ff4963f0000933454433f8661becf6df8c1b407edda0,2354924,1475244895,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,4.54510409,NULL,0x,0
1,0xfdfff0ceb18d006c46db9d5180ebf53643d9902af54c4e19da9650d98114b367,2354963,1475245388,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,111.43232959,NULL,0x,0
2,0x0d13e2e4a230532264f4c90ac39511e13c2a2d024de7948618e24bfadc74aa67,2355866,1475258138,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,111.26148732,NULL,0x,0
3,0xe971244c83ff99744e4c3d16c3f55ef97d4b08d27fcb342a05c115c8adedd6c6,2355892,1475258456,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,111.27507681,NULL,0x,0
4,0x4d33f22954ff8dc2f1a67893979dde55ebde4efca0130d5159fe8aaf565ea11a,2355990,1475259527,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,45.431096620000005,NULL,0x,0
5,0xc02f76a8155902422d07e9edfef68df064d3cee260202a1695ce8e36cd1529b9,3429078,1490635067,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,97.41783008,NULL,0x20,0
6,0x188563281ffef42ba23f01b6e97eb9f280ca675fa72adef2032a69180ecf11fe,3429440,1490640302,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,97.70800849999999,NULL,0x20,0
7,0x28f68c2e5c6c4b18cb8e37bf776d52a131442c27e38fe5ae0475586539aac9a5,3430197,1490650987,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,98.82037637,NULL,0x20,0
8,0xbfcbe89134e6222388578518ec38ba5d8eb8e9646d10c7878ab89b9de8766716,3645711,1493851846,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,57.66104028,NULL,0x,0
9,0xd51e5f0b62e258d203f4941a28a11cba8ce534ac081fbc3247774df02ef7866d,3645790,1493852907,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,61.97782327,NULL,0x,0
10,0xfc3bb29e478062f523ea46eda0f96e53ea3f3964b9001628e9cbe04b7e65e6e5,3645971,1493855812,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,61.09557002,NULL,0x,0
11,0x24d9e5f6790275a12bfb4ce0ed2846236466809ca6ee6b2b206cd11c99c4e88b,3800718,1496274374,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,20.09243542,NULL,0x,0
12,0xe4795ad1ce70b6ced21552d5856258408754cd46f0e812d552bc67458564dcaa,3800905,1496276845,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,4.97575854,NULL,0x,0
13,0xbcd2019e3762477f002a6e016e538e7bc306912fac0816f0d6b6c2d60ae27fd0,4693737,1512692291,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x73edc2dda8044ea4f805529d4e9f2ee33197dcca,86.0,NULL,0x,0
14,0xdf8aac1d41e678bcd833e4eabd8f886384f442ec748dcc7e4e90b89c8fad0f7d,4966487,1516832428,0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,2.16988,NULL,0x,0
15,0x5e6e31a640f9484683692f1cbf851fc15036839cf6f162de88e148c76e9663ea,5987645,1531936366,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xc8e42db5decf51680b8bc0ef364eac889943b55c,10.0,NULL,0x,0
16,0x74876e96835b5fe53a936c6e45d830fc6d87d6efa91d847822def8fbffe59e94,6404825,1537991267,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x032d799ec0ac23389a108fd6896a47b7b780a751,1.0,NULL,0x,0
17,0x453c3cf35ece895af171b55705906dd1dbc5c41bf0e12373b8815f744a541889,6519710,1539607634,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0xf80b9ba1befacfb0df0bb0959d150af626dd129c,0.5,NULL,0x,0
18,0x942a8da9e0a137408edfeefbae20e398fa8b9cd59f51c53a845d620edda1c541,7446342,1553632467,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x1741b198a5acbc9d5bd445f4085f643322a8c0e7,0.1,NULL,0x,0
19,0xeb3fcc9425740805720c19f4be548a53feaaab46ae78a5b9f9116984786ba339,7446411,1553633368,0xe2d0df59e984516ce05ac636e6316b4278e78eaf,0x1741b198a5acbc9d5bd445f4085f643322a8c0e7,9.9,NULL,0x,0
