,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x42e236638e2bc829daa996013c36581c3ef20bb78f152c70dfdf48d79ea749f8,3899055,1497890633,0x9d349e1afbf4191c21996e7aece42fdcf20baf20,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0.01,NULL,0x,0
1,0x762b3c1b8754f193dbff1c759e15b1d885192b7173cf8fd2422bb6c7423779d9,3899073,1497890979,0x9d349e1afbf4191c21996e7aece42fdcf20baf20,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,10.0,NULL,0x,0
2,0x231383fae8e3907d4575927927d25e41477a6cefbf518f9345543620621d6330,3899081,1497891103,0x9d349e1afbf4191c21996e7aece42fdcf20baf20,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,300.0,NULL,0x,0
3,0x3a4a2237a9a6e64d534aa3e40af1281e16b661d9a07a9e63d5b19736f36cad68,3899084,1497891147,0x9d349e1afbf4191c21996e7aece42fdcf20baf20,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,1535.2357099606256,NULL,0x,0
4,0xa0ad1f8f7e6801918fda46165d9df92211a7f3a53684ae3b638dd7443db8f2a9,3919118,1498241199,0x8271b2e8cbe29396e9563229030c89679b9470db,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,9.00848654,NULL,0x,0
5,0x087db16b7d196edd13e3c21f9d2d0f196684feb40d08c9551c166f636df19074,3964758,1499032385,0x458dc4cc5932ccf1a7d6c9f4cd4a3d2fa56a35c4,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0.007451272,NULL,0x,0
6,0x045f98055d5d394e7bf01f1c7eb0ae90af956a6b9cc23e56981a79d1c3d65afe,3964823,1499033579,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0x458dc4cc5932ccf1a7d6c9f4cd4a3d2fa56a35c4,0.01,NULL,0x,0
7,0x91260a9b5be3eeadfb3f3969dee8e0f1576829b88dacf2f7a3d20a4106b621d9,3965239,1499040567,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0xeb4a2e8ecc835d5f0f8dc4c545d950ad18dd15f9,0.01,NULL,0x,0
8,0x68c9810bec87a827237db56a67bde1d85b8b521a752a444de3b32adc281af7c4,3965324,1499041954,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0x35425078ff0e35765ebbefdae702440ea64db589,0.0122,NULL,0x,0
9,0xe5bfa0c4625141a569a269472b312de16df24f78c007e600364d4256e0b49b54,3965473,1499044502,0x420a79640599202461c9aa6e30671d132fbea910,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,3.779559,NULL,0x,0
10,0xd0567803e9728b3a93f8f31ceb3eab0785c820c335f69c154a9ff2b8c959d461,4054081,1500658289,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0x6e8ea2e54d8b95b480a6f502e1e6f5e377604e35,58.0,NULL,0x,0
11,0x534db5625a0b5ac809e7f4eb130b849f5ba9231507046647104bf900352e1868,4078462,1501113172,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0xfab2a5be5532a2c83de9900191ab66470445263f,1.0,NULL,0x,0
12,0x8a32f9d4ac22ab0db8021f5efee2f596ce6082091ee87b00a4e0e3a7e820cb0e,4078493,1501113681,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0xfab2a5be5532a2c83de9900191ab66470445263f,49.0,NULL,0x,0
13,0xd1cd7e90ce3a9951d45aacfac0b3c2cf047db3778f6a6c9906fbb55b4a6b28a3,4157779,1502735603,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0x2e572d37ba4711fa3488c8c83bb6a148f9d74e2f,3.0,NULL,0x,0
14,0x70de5c5337f0905396e5a2c3f456b86e0c04c85a3a8874fab3f0819098d7b7a4,4157782,1502735670,0x2e572d37ba4711fa3488c8c83bb6a148f9d74e2f,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,2.99,NULL,0x,0
15,0xf12b98bc6690f5cb1f530ade5f7124c882aa1a6c3171f9166c803ea90198f1fe,4157804,1502736077,0x2e572d37ba4711fa3488c8c83bb6a148f9d74e2f,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,0.009118,NULL,0x,0
16,0x81bc7e3c556aa8f0e64ea3b79f86c6933d6b3451c36f06ce8ec258fb79a96a96,4169565,1502981839,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfb62ca667b395cde7a44ae8d44915a2b8dd6d9e8,10.74,NULL,0x,0
