,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xf3b5d581a6f640a0e2cbb0295a881415212f7e510dbf864fdaf6d79a6ba67434,5290804,1521572468,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,5.67,NULL,0x,0
1,0x042e5580dbc17f3eb310a0ec1c7967461c1cbf8fcf6acf4647f872788104d291,5290823,1521572720,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,100.0,NULL,0x,0
2,0x1aaa159dce8cf2b55b4a2acb0411b9165a4bf1c22cc1d0e424d4669bc17ec5d2,5290827,1521572780,0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,335.0,NULL,0x,0
3,0xaa674bd2dcac1e3e8e68ff42c33c516d9c3f41663b79d11eddaaf7ca49945bbd,5291147,1521577171,0x4ef42927687b96cffadc1fd1037898a8c3d5d418,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,43.0,NULL,0x,0
4,0xfd6aed70687d3e12e98f82f72ba54a7ce9742256e3bc48339a285110417b4613,5313178,1521895314,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x992ffeb48c4f754f5a45931663f300942e24fd11,3.67,NULL,0x,0
5,0xe157eab7b6de669858c0316817e973380bfc1d7e00eb5046f9c7af3d3b2186b9,5313185,1521895386,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x992ffeb48c4f754f5a45931663f300942e24fd11,279.0,NULL,0x,0
6,0x384dd06cc23bd836f163c1e00fcf5d50ae45540f31decabfda1c8b55c320303a,5313689,1521902620,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x992ffeb48c4f754f5a45931663f300942e24fd11,0.9,NULL,0x,0
7,0xd5362b71e62acb31a157b28006437f7f700fdb30f490a6407c10e2b0a64a09cc,5313697,1521902698,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x992ffeb48c4f754f5a45931663f300942e24fd11,195.0,NULL,0x,0
10,0xd113f1392c8c11d9512be2fb4de082b3faed513d51c1e84ac8ea49c9cbe37a80,5314294,1521910888,0xd91b49096884ac552d9232359288ef68c653d4de,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,4.5,NULL,0x,0
11,0xe028cd636f0c3b8e0fb9b71e78b97d3a45c9a10b5e3ebacc86032b58011de773,5314299,1521911043,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x992ffeb48c4f754f5a45931663f300942e24fd11,7.5,NULL,0x,0
47,0x2ccc6c4baa07e7f3026a690195983886268a85fcd8195c5fea2549c1cfb33499,5379186,1522846735,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x405449e6d7f4a0e7ac136d59cb6a4b8f0e4aa053,0.92,NULL,0x,0
64,0xe6123d2714a5c1f20a395b11c663243af9af02927c1f1a4bd934d41560260901,5379519,1522851517,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x5d119694524a0edd0c7bfdfe8919a4dbf3aea009,0.924092524,NULL,0x,0
65,0xe0c1c0757c2afa21639882c873363944cf9417332d5aef898875c88e9681026d,5475083,1524241339,0xfa46ae819fb87411cd2fae1e1910d854c51854b0,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0.09748,NULL,0x,0
68,0x57a7b40695885e89ba013aa1594622169fc5ea895f30d934ca2daf4e49a5951c,6187360,1534854844,0x052ee5470868d14b158abb10dfcc76ed1cd1293d,0x3f1f35de95919287ee7efbebcac62e4d9292bb6c,0.088924662,NULL,0x,0
