,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x5bf6f99497af080d90329d3f4ae9911714f98a86a11f99f6703f328bde5cce44,6483821,1539104002,0x6de05f184d2f7fe688b1ae46e750e4189a6cb9c1,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.15,NULL,0x,0
1,0x6f2c25db4138f0e84cfeea426a3fc08a7237fc8775e02fa4716c7a02e2c46ec8,6486456,1539140601,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0x2bdf84f011f81485bd1824befc9842055db23127,0.145,NULL,0x,0
2,0x603613ce49b598d09a0d52cdb05aa2da2538084372d5d71bbc09d5ea8c7966aa,6514367,1539532033,0xbd5635ee0f9c1ec5631dd58b0530ff9935bb29f9,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.25,NULL,0x,0
3,0xb02a5b2206b6edfa374c6b1b6f5d4c71cdc582a5589fc733b46218e334ed0d37,6514391,1539532358,0xe2075883c6c0ffa1425169395254d54eb26a4d08,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.1,NULL,0x,0
4,0x6b8c4eab652003e26a922a0dd676bf3c15e2af2552bf7f0ae0cbc9b8234846cd,6514398,1539532431,0xd1918911b78de47cfee43f9187cc6d281fdbd6c7,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.12,NULL,0x,0
5,0x62819d13bd903f359fa64f323093ac92817f2c73c4f3f8736835ebab898aeed1,6514424,1539532723,0xa63760dd364159515e979d2e7455e29ce56228f6,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.8,NULL,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0
6,0xa5cbc06cd382a9cf40328d5ed80349d00fa9d4af243ff2200f63f02b1e7292db,6514448,1539533108,0x60a0aac44d92a13829c8934e0f4e918b065e80ea,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.499895,NULL,0x,0
7,0xe0adc20e3cb73730a9cc6001aca870e1966315d578342be530aede54f99f7b76,6514467,1539533343,0xde2ef3788eb98437ae70228dfb3859e0221e9cf7,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.29013181,NULL,0x,0
8,0x95209fcc91946f109b01cfe991ca09cf75f6db86762f8f3bbf4110a85f2bc32a,6514488,1539533695,0x4620e6599670b74293a58336be87258291889c59,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.007,NULL,0x,0
9,0xcb7ce19f935ed89b346239d462c52c522e01df1bbc43c116e73c2fa71643982e,6514538,1539534544,0x2f1fce92c81a9d862da38e512732104d5a9faf5a,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0.05726776,NULL,0x,0
10,0x1ec21a563a87e2f038f59ccaef08c9255716b91b2f4e43de9361222a0515738d,6514668,1539536330,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0x0b9c8cd746b3b0879800d5341fff8650fcbb165f,0.01,NULL,0x,0
11,0x803a2eb9ca2969f8b460723d4e352b540f01d56ba9a751ad9f3765ed5e6f14c6,6514702,1539536841,0x0d9dacef694563ee0888e2751bf2349ac1b6270e,0x0b9c8cd746b3b0879800d5341fff8650fcbb165f,4.118,NULL,0x,0
