,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xc708e39a4343e7f68b4b03b7ef0dc43244cee52d3a8022210ce73e8ed61e9969,5217488,1520497660,0x3cb1e2119ce82e7812a86e057bd2135a1a893edb,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.16,NULL,0x,0
1,0x6d3cd18e41209682f0b1fbabf9af4c87d7591f488c643ea2e60d58f8298641e9,5218609,1520514332,0x1eb97b9eb91734e80436467ee4002e1c63f34f91,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.196,NULL,0x,0
2,0x57b59f6c32f116e7befed24266d499086831e4c6f096c5bb0236eb52a5f640c4,5218643,1520514751,0xdeb429a30a294850c77f1b92e4777b7c27ef82fb,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.21,NULL,0x,0
3,0x7a22459a15cff93a5d38fe93497c955c35670648209d5e88cbef0cd98f90e316,5218802,1520516720,0x5c0b168da6338297162d05b3d18ad8bc4d4f1fc7,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.5,NULL,0x,0
4,0x17b9713db4a686c40d2c5dfd0dec818f8c227689ed1ac177400b9dd3502748ae,5219121,1520521259,0x067ffffec4ac231fba4ca2ece37609d2b2854816,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.4,NULL,0x,0
5,0x0a14c66bc73ca888bdde251cb06ffa0c6abe25aa75f6c89cadd585247d40de48,5219328,1520524426,0xe12d6f46ecb1f1bad931011ada34612abdca7592,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.13297872,NULL,0x,0
6,0x36e7ccf1d7dbf5ac55dac3ee617cf1ea245755a569c12208872fac0af06baa88,5219408,1520525522,0x2c58f41a254f1db4ee25756513d124c73c3b2cc4,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.5051946,NULL,0x,0
7,0x62ba1c7486bd4e9c0299872d7464b5b9fe3859a03e062ac9f6d9c38f7a8256b3,5221833,1520561809,0x79aba2496d1d9708bfa249484e16d5484a7eb312,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.66,NULL,0x,0
8,0xf125cc7daafa079be14e781258416ede5a67bd0e03af80b6ee3a144e7150a1e5,5221970,1520563800,0x08530bc880d13e600737e16e14b1b8c167e4d846,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.5,NULL,0x,0
9,0x30a861c010ae75e6936e195bd3682e85d163cd231933355984033f413ecbc3bd,5222289,1520568384,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.4,NULL,0x,0
10,0x9d8e0a8e9647b1ad5a064cbbdf6175a828a67ee5f97485c67f790cda93bfe704,5222931,1520577433,0x7863538c3270ee8ac339117e7e1beecd4b7b5df8,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.68662745,NULL,0x,0
11,0x7101fbda069b48acebd044f08f51bb2d13d3fa8f52ca9616aef637dc5cbfcfe1,5223857,1520591510,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.41351712,NULL,0x,0
12,0x1d476b0b74681579877a67758d34310af0224a05fc93b88313ccfc7427d11327,5224916,1520607046,0x752f5a04c0cab06d573eb38ef8720b2c7418c4f8,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0.5393492,NULL,0x,0
13,0xd38592da1f4ad5e89fdfd1f6d0aa60345b8d28951325e2cf5666b0399f8bf15d,5225711,1520618877,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,1.14792351,NULL,0x,0
14,0xe270d7725eca9ddc86b941dca05cc01ad0f2bf16df8a0b5d37d4cd5a2ad773f6,5233159,1520727709,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0x03f43df2da7236a6eb3fba50e0a35be20c56c960,0.4,NULL,0x,0
15,0x3d0cf3a4dbed512ab2873a1aa3cde567661596d919454ef0cec912da36dc8638,5233567,1520733491,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0xaf34a64775709f83cbf17f2556f856e35cc01092,2.0,NULL,0x,0
16,0xbc49e2443a2d04b45d1c009e8dae8e441b8b518ff96e8d8119759f561fd1b40d,5239006,1520812465,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0xf3fdf3a53af7391b6d8b97dd1acd7b305d29a823,1.1,NULL,0x,0
17,0x6d0d6326c0cccacc9a43048d8060c9e2e9a2f67c34a43043e4e883091bc1e88b,5254130,1521035801,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0x1edb63aa1206c8fd58cd552e39d48143ff174c1d,0.0153,NULL,0x,0
18,0xc6c897e504f1a66a2eaea663587a58b0a7c1436c139c50e58596eef3b0f614c4,5271746,1521295938,0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,0xf3fdf3a53af7391b6d8b97dd1acd7b305d29a823,3.330849695,NULL,0x,0
