,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x410272d68a86cb4015b346492a24146451faa738b3e0d08695bfab8c2f71d20b,5714563,1527867289,0x8724afb94b540f38d4aadb84a45bf63cffc9f0be,0x1af0340527b8baf6965307010871f6312eabacaa,0.19830191962291338,NULL,0x,0
2,0xc6e9929d76eea5734d7c28a3ce0aa8ffa43db8c1ce1804e98eff03171f32621c,5718770,1527931382,0x3d73816f6b5a86a09ee9c3891ab3d2fdd7e7988f,0x1af0340527b8baf6965307010871f6312eabacaa,0.599472892137919,NULL,0x,0
3,0xb054fe22505ba94310ed9498341eec8eef56cbaab9199ec2d9a928cea9e4b8a1,5718936,1527933513,0xebeaf093cedba6de6ffb6521521c01199bf9fd66,0x1af0340527b8baf6965307010871f6312eabacaa,0.2102449369570667,NULL,0x,0
4,0x9c829e49dd2cc3d02edf772905abe07e563bab92c0d16a91e1b0ff14e52508e0,5719673,1527944752,0x1af0340527b8baf6965307010871f6312eabacaa,0x19e7b059d642231f967d2300f07609c8e0650509,0.01,NULL,0x,0
5,0x14b5f5dde0f77b6d9a7a8b2181eb0a7ce1c7bbe5877325e24c71a8db3247e3b2,5729141,1528090309,0x1af0340527b8baf6965307010871f6312eabacaa,0xcb91dc7bab77f0052f4d2766d4fc956d5f545210,0.003,NULL,0x,0
10,0xc7cd110d2546f9fab1ce4e242c51ff28d4265e6750b57b61b1475f166bf5021e,5729346,1528093494,0xd0071b4fc08d346914c6d538195b83595915d4c7,0x1af0340527b8baf6965307010871f6312eabacaa,0.35229962,NULL,0x,0
17,0x497feab48ea28269fdfcd931bb06754197ad751902091bb8d8e0715f85f04011,5732031,1528134442,0x41090134f4a89dd335f641193bdb2bd5053b7444,0x1af0340527b8baf6965307010871f6312eabacaa,0.82,NULL,0x,0
18,0x37d856a2bbbb2f6d38810401569670da5405a02149e0357c21756d8e655716c6,5732051,1528134690,0x41090134f4a89dd335f641193bdb2bd5053b7444,0x1af0340527b8baf6965307010871f6312eabacaa,0.16,NULL,0x,0
19,0xc576f8262c15ede635d2832a2a4d5a31a1165679d58a5663b28bd9ace8b3403f,5734470,1528171017,0x1af0340527b8baf6965307010871f6312eabacaa,0x0b788e474f152a65928c66ac87acd2c372c20467,0.008,NULL,0x,0
22,0xd40cf2148084301cf4df28b8d0d3fb2a018afb3c903f026cc03bdd1efa0e789a,5740169,1528259322,0x429c42143f90264a1aa65c4864467257a8a50036,0x1af0340527b8baf6965307010871f6312eabacaa,3.933,NULL,0x00,0
23,0xebd9a105e4f52c167b2c7500f94c8c6d6a9929a25b6f2ffcd7cfa3420fab66e1,5741211,1528275366,0xc477ffda719052f557444a58a51eb8e785733f26,0x1af0340527b8baf6965307010871f6312eabacaa,2.889276,NULL,0x,0
24,0x85568ca61894bce2176c86ce37d46356cd2a34a29e1d2d861045d56b174bf2b2,5743367,1528308325,0x733bc0490dd6617186cce702126bf5455ff1e043,0x1af0340527b8baf6965307010871f6312eabacaa,1.297,NULL,0x,0
25,0x6017a42008304073bf99724189f371b95069bf6f3b29caa6238c98bc83e7e83a,5751326,1528430834,0x46be47d8838b1adf64e1dbee3fae2911d9149762,0x1af0340527b8baf6965307010871f6312eabacaa,0.399526653068163,NULL,0x,0
