,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xc7e5d1162b24c2b02a41444775ee95f5ae9318d330e9b50c7e44eabb5efe35cb,5965660,1531613988,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.69,NULL,0x,0
1,0x3bad07815dc88f3f8eccd28fcdcdc1db8a7047bbce47885265bf3ccbab852b8e,5965741,1531615157,0xbcc2874580166c37866bff97ab762456ce5916a2,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.5765625,NULL,0x,0
2,0x67ed0c919b496bfdaa9f87c31f08ab481d80952af0ed4755ff9447615345a5b8,5966925,1531631777,0x2b5634c42055806a59e9107ed44d43c426e58258,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.5,NULL,0x,0
3,0xf92db828aa5444fd2e54da3d1b792f03ea16c9eadf4a1238bd20208d421cd178,5967717,1531643581,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,3.994,NULL,0x,0
4,0x888324013ac36d5c8b5a110f3c8f517675bb3b6c1329026cae7e43433356a2ee,5974409,1531739792,0x07db6409370a9d1f31167cb3e677234d093e0d25,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.5,NULL,0x,0
5,0xcc457428b0ec8411666b2beb184356de987149bbe93fdac798b74d8eca4961e9,5975097,1531749908,0x2ad7f063a2f304d1a60670a234eb750cb1068740,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.6,NULL,0x,0
6,0x3cd3aa19b91fa7092cb2ebc21f6de9198c8aae953c7014dc538d73edb78b177a,5976384,1531769263,0xb027b6cbf9a778c50cf2b825daa6531f3a3a1238,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.9,NULL,0x,0
7,0x35eb561fca0dffcc931a452d1a786adf000bd4ee8ffa2b0347bc1e3b7695ef0e,5976439,1531770091,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,2.0,NULL,0x,0
8,0x885a95ac02209c2d553db15cd474f06ee487ea31d56cd7f85d38733a8d87287d,5978171,1531795464,0x0d65e01004fcc2d71e21394d131e52e4ea2ace6c,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.5,NULL,0x,0
9,0x280a2380a513ddd0c6f6ca61b2d5b2426f235c1609f0bdc4714c9b7eed739f95,5986753,1531922803,0x02b9ebe1fb1693c073c2b58c8dcbcd668d5377a7,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.7343392,NULL,0x,0
10,0xd67b2ef083e9c5ba73ff021c49b93d4c75a881024234a06b98add7494d35f50e,5992343,1532005797,0xaceda257bd41fbf10e63d7f2edbc0fd6508b046b,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.52,NULL,0x,0
11,0xdf067c836864ce45642f8e34031302d78f0452b58652cd07cd8ad7e42c147bff,5992650,1532010296,0x00affbebe0122ab4ec2291352b92d731487e8364,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,0.5,NULL,0x,0
12,0x4298b6032036df024210be194a90d3c710e5b58de1f1e30c90e1641162ea99d8,5992993,1532015167,0x5d23eb427d320c2e54b0402acb2c8b7611ed8f03,0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,1.0,NULL,0x,0
