,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xa8a482c240716e424b792b53866c0be2dc561c7aa021fa90b3a27806284f3b2e,5519533,1524902918,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0.2,NULL,0x,0
1,0x90795f183e8c674a78e9967774ed3472f7ab3c33dfa4bfec245400cfa32e1d8d,5519542,1524903047,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.01,NULL,0x,0
2,0xc95789060d206e1dff8db2358b65f171f4b12fe8a27284901eda650158a3f222,5548432,1525340076,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
3,0xb415b57df533fcc1b2e0372f592f67146af6d666c96d4803784c28d5d0ff9a09,5548916,1525347561,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x49ab519dffb152acb231ede67deb02a278e5f51d,0.03514379,NULL,0x,0
4,0xc92b015a6632e9d034580bd1038e4afd90713750d0fc5cf722123faeb408c8a3,5555296,1525444686,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x9eec88c3d02b5a39193127ac14a125b7f0610b28,0.01251346,NULL,0x,0
5,0x410579043fbc66a3e0a6d8e77ad60c44f2734ca1db6e5e492fae87d3317edcce,5561368,1525536900,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
6,0x16d73b60a47934f3b35b5363a19e40989818303d357000d37b4ff2354fae571f,5568112,1525637610,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
7,0x22e9cbdd325ef732005b813c64fcb0d510f95f6e9ad0f29eeb737f2d931ed8ce,5569122,1525652717,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
8,0xf864de802765c48dfa3b39396e57aef30957279954d305062a3403d7c326a8ec,5576842,1525767333,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
9,0xc0bac080868df32caf54fc2fe3769480fb24b56b2fab07755f5f04093ec4b807,5583544,1525868897,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
10,0x90fc6cadb352fb894c75b1d20ae84526c0726945e18381f5cf27b7b46639b055,5584136,1525877609,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x127bd661dbae34818ad2e5af508d3a27bdac723e,0.125,NULL,0x,0
11,0xb62e8e3e8db368674e64b17d55808f67f48de327a02b44fc5aaf8af0d568250f,5594491,1526034655,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.001,NULL,0x,0
12,0x8d659beba5ac28153b28d5f3e318eb1e4862c1da328c981413b9911069948521,5601352,1526137833,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
13,0xfcb4661652721a5ff93432074623a3b30347d222c469c467e4f0ddaf9469f002,5605499,1526199838,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
14,0xc3aec3142cafb0d02e9d38c02992d17243bc4146a6c3f035c2f3355e1e8d9566,5623376,1526471040,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0.2,NULL,0x,0
15,0xc49f91a129b8d02dcc6e69919ec011f7eb59ea99e64a8ecdc8b08bfe3054ec12,5624832,1526493787,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
16,0x5c0fe7abad09f00c59d19bfcf873afebaebeaf9449715016b65c8b58faa72ee2,5628531,1526549771,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x4b1a507aa707d0951c56d9b1486b4a79215860d7,0.0349,NULL,0x,0
17,0x84a15113f0e38144b0228e2f96644f501e4b9f0eb9eeee83805744c124cf7e12,5631681,1526596871,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x56ed69541f806b4cbd1d6d8373971a41d5658e25,0.02834,NULL,0x,0
18,0x13e77b66bf060ea953e63f144762a71c084175f57f6b065a1a33c4f2e1af616e,5631900,1526600241,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0xacb41bbc8503de6e9587b9056b40c37e5c841a37,0.02454,NULL,0x,0
19,0x607465d98d362828b684c9f6fe5c6fe998e997cccfe7a840591674bd7d42e320,5641069,1526742042,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,1e-06,NULL,0x,0
20,0x0b3efd82f579fa663b6cfbdcf5d7f71e6f3519759fae29b0369316cf236b103d,5641805,1526753079,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x2c646bf4939e0c1769789c3568776e708b92c8d5,0.03710893,NULL,0x,0
21,0x5df8ffacec1be81060b0819b6ba8d7932f3a9fc249df1a72aa300ed5ecd4af84,5647625,1526841622,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
22,0xe41680074189d1d4cd1afe28403b36ab2817d9c77a2ab6d81fda3d08c539796c,5656665,1526979498,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
23,0x04b6f3fa073b70ab1a81794409b753da5df655fe5d763fe25a660f6496a61207,5661657,1527057093,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,0.0001,NULL,0x,0
24,0x55cf8a455d11cd668c5af455294c6a93c45e20f57a470a4fa4f60722a62e0221,5669023,1527170496,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x40949225c4a1745a9946f6aaf763241c082cb9ac,1e-05,NULL,0x,0
25,0x575cff1aa5ef76ae322217319c99f08fd8e36f17dd2edd4183a365f68eecc6af,5673783,1527242920,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,0x6770ff4c0d0b426a2292fd64ebdf8770d3e206fd,0.03719648,NULL,0x,0
