,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x66313369721c8a8957d3e706ce7d2d7ac3c31836ea87a88b844c56897c804947,5522183,1524943658,0x29e295bf542aa339784dc6c7e91a9dd82fd2a74a,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
1,0x78d6182b213c2602e42df42de19df7f5c8d46c2643c77348e5130938645045cf,5522186,1524943715,0x29e295bf542aa339784dc6c7e91a9dd82fd2a74a,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
2,0xabbb42c132ec36ad5745dff51128284486f6e37ee3cb92b612d73b006408440a,5522233,1524944436,0x3f27b5f749d28be2e6a2cd2a5908b98d4bb6c061,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
3,0xb9ea0cf7c42d6f440dc392f1a48981f194e498d14bb13e6a6abbb0a350a6f29a,5522255,1524944807,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.57,NULL,0x,0
4,0x15697f1118075518e56646312c4c0a966049be8eba06794c4d56513ef25008bb,5522601,1524949837,0xed1434cdaa26150046e6b77bedcd6a6e57e9bff1,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
5,0xfc6637fed63868f607793ff7273e2f5ef060490b8d4f3baee878ad6916048204,5524251,1524973337,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.67,NULL,0x,0
6,0xd952e1d44ca523526d271e22fc0b48a1e8cd090c048f964ced66fcc8a1d66c30,5524321,1524974244,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,5.0,NULL,0x,0
7,0xd67551554dfa3b05c58b230a00179bd9db33069d43ecbd8b980b40e2cd0cb6b5,5524322,1524974262,0x7509d8bb2c4d9331832d131c3e286f63a9e54691,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,2.33280974,NULL,0x,0
8,0x33515bebc62794b5115583c58aabeb1dcabf2fa7d75c7ae0a5fe739fa93ca2df,5524390,1524975242,0x7667ee7d212344c3d4e3c88b57da22e40ec56b10,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,9.958494,NULL,0x,0
9,0xbd763f9154e8252f9a21801af60555bd76641d5fadaf61a210954e948d23de42,5525549,1524992737,0xec97dc88edc729f4f458daf741c2be9be0ae1704,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
10,0xbb7265399fe79c1d17a6d2c4456c5c675dd87eecd2693984f75a8a311e1f0832,5526386,1525004861,0xb3935bb938efdb9d66c2b62d646a0e35d9868424,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
11,0xc794d4d05f8532c639617cc39e5d37ff8dc2f20079f6a73670f1357152fe6e08,5526435,1525005616,0x34b130b713f82c813fcf98d6aab43ac7f1f2958c,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
12,0xd29470aa8ae56d523228279ec10fe4e15b0d1ba34eba6aca4ef8293c297d5928,5526894,1525012863,0x452482b9f60e9d7368481b4d8b012bb5fa48080a,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
13,0x47cc1078af6dbc976c9438faeb6dea7f0087fbf097dba912cea2dd0209c4caf4,5527141,1525016798,0x0a2e456827f95aff6354a66460b77cc367398bea,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,1.0,NULL,0x,0
14,0xdae363b008ee29fce5cc1b422461c05a926197a23a2a6bc20bd1c1fd45bcbec7,5527215,1525017930,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.09,NULL,0x,0
15,0xbb3340b8765aa08fe2996327d4a08f36c6513dac5477d61c9e616da79ea537c4,5527244,1525018308,0x1955d1f8859e0e6b2f75b0f92f1f93ad2144c651,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.53890349,NULL,0x,0
16,0x0e0cf3c7c2e14ce0a927f00013c6c96470e920229fc0dfc0f052e52c2a3da7e2,5527533,1525022688,0xc3bcf9571bf355f9a906c1b7550e4f9436b0c3de,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.51,NULL,0x,0
17,0x09e5bc5632ec4d80487c57f5265b0478c8e669c2f11eb8516430b744f7f37b3b,5527633,1525024244,0xa533db5f2f0030f1fca045908c89e9872d8c59a6,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
18,0x100b7e4419dd44c812f37a8f05e9471f04ffba71c442bcf6d210eaff219d905b,5530755,1525070815,0x564286362092d8e7936f0549571a803b203aaced,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0.5,NULL,0x,0
19,0x4c4b708e707a31e3c438fd97d3754146c4ed02ea897c8493bcc269a49d5f12a8,6544139,1539952721,0x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,0x2294c976d4618ced74c2807ee4384322c3529976,25.669346230000002,NULL,0x,0
