,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xc730aa91964cfea13c7d1c87277c42b98bb50bf56a94e846088d2f85148641bd,5521038,1524925485,0x3249ec11a3a87493a8de48706d271e515f1a0637,0x5093c4029acab3aff80140023099f5ec6ca7d52f,3.87953211,NULL,0x,0
1,0x93004cf08da3d65a4ec58b6844d8945ec3adc8c0159b9d0f583108f87c03b8c7,5522130,1524942914,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0x1cbea2276489297ab34bb5133561a22ef3c14dfa,3.87,NULL,0x,0
2,0x56442cb360c8d853afa122281e066b96e920512d85cf646a4fdc2fddaa5ae3e3,5525677,1524994802,0x67aa465ff846807bbe4215a8f2699c91c79e9499,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0.25067144136078784,NULL,0x,0
3,0x74f67ae6a3797ed17291ee71c97609d65ca8a514e3880b4b509914a8d46234cc,5525682,1524994915,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0.02,NULL,0x,0
4,0xf529115e2a7d215309364983f2b9e97cedb4838f03305097141eaf029a4ccf64,5526039,1525000104,0xda526dd7dbe426eaeb0e83ac9bf47477e9c05bbd,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0.65,NULL,0x,0
5,0x223bee379d4be951cd689726cfaa69a822071bcc93d33a96db84afb95118ba9d,5526856,1525012369,0x8958618332df62af93053cb9c535e26462c959b0,0x5093c4029acab3aff80140023099f5ec6ca7d52f,1.893,NULL,0x,0
6,0x6ec499e4841f80d967fc1c516a5f90539af73b96527198a3eda3f211a82ae8df,5529455,1525051025,0x8b419a2a0aded553aa63926ab77014f6ae35d87c,0x5093c4029acab3aff80140023099f5ec6ca7d52f,1.0,NULL,0x,0
7,0xeb82e1bb801b7c39fb275666ff3e335077c8fd90a1b2b7cf3be9b050e6ec31ba,5531510,1525082223,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5093c4029acab3aff80140023099f5ec6ca7d52f,1.71,NULL,0x,0
8,0xcb0eb61cf8149759f28b6207c02649b6b2dec803768dce0c0261147390e21fa8,5531728,1525085627,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0x11e490d7913e27075d9a92322c0af01d7fd09ef4,1.5,NULL,0x,0
9,0x007a53c2203ab18427440ffe3956dac6efcf1bc332284275fc49fa1f8154c779,5531988,1525089383,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0x90b5a195b96c20700efae283cac1ede5fb751289,4.030767551360788,NULL,0x,0
10,0x59a2f95b5f9e317388a655fe5d9788d9f8df1773472033bb47f28d1116ddea33,5543119,1525259023,0xeedf80b3bd7310bc5917685ffa1d92f72ac54b67,0x5093c4029acab3aff80140023099f5ec6ca7d52f,0.5,NULL,0x,0
