,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xf5fa43c49d8806635fdb433e7178003e7d8ce1657c09421473d4d97e60bebec0,5917625,1530907912,0x52684ea0060f95e23f5f0825240c2375a86319fb,0x52b949fb4678c20873135ce6b3727949432af1d7,0.5,NULL,0x,0
1,0xe175e017e702a22d00dc6277c331fcffed9ed74ae0baa30b04f055d56dea5aab,5932917,1531136503,0x4550d74cc0ac86f88aabed20a6c1a4b59dfab3c5,0x52b949fb4678c20873135ce6b3727949432af1d7,0.0742827289,NULL,0x,0
2,0x0425cb672993db2ae56d193c03445da771b393383b2d7e0446a562f8392e9c00,5935177,1531169916,0x52b949fb4678c20873135ce6b3727949432af1d7,0x3e5e161448f8fff6e81ea89fd3c1a5e6de07a40d,0.01509635,NULL,0x,0
3,0x944194d6afbd4dcd4561550c0b83f1599a782d9755586608cf405c504a0980d5,5938133,1531213334,0x52b949fb4678c20873135ce6b3727949432af1d7,0xc171f56539ec35658d076bc85fdff36b302c5aba,0.10260233,NULL,0x,0
4,0x729520ac901594d0485c4efb88ef3bb9fac0c16bbe1cf3c54708ce6177604bc3,5956835,1531486401,0x52b949fb4678c20873135ce6b3727949432af1d7,0x732dc605a9509bdc8695500d2d5c28d24dc2b4cc,0.23616504,NULL,0x,0
5,0x56a6f615564a49a42085501176188ddbf4aca1314746e4c7bfd7c6196bc1afb8,5985027,1531896734,0x52b949fb4678c20873135ce6b3727949432af1d7,0xb89aedd9c6a9559d6af4aeb1a602e330f39fbee4,0.35068928,NULL,0x,0
6,0x8e379a0b2d1c0f413811a2169040a18783a64ae235d7d5bcf422192744fb3281,5988383,1531947111,0x52b949fb4678c20873135ce6b3727949432af1d7,0x0052d8959021a6b76acb1ff510b62c8da49a0ca1,0.05256397,NULL,0x,0
7,0xed5b74baea23fe7dc0cda24ffa24a171ff463be795a87a083024d69de96b5b63,5991701,1531996640,0x52b949fb4678c20873135ce6b3727949432af1d7,0x1a8e275a52d73be07cbe6440dce7e1917aa7a702,0.05210421,NULL,0x,0
8,0x362cf48f8ca1d5f7da66b40ad8c701391ddb6b3ecbc9a83d7588a6bf2e0c1e10,5997332,1532079577,0x52b949fb4678c20873135ce6b3727949432af1d7,0xca03090a79d027877649fe821dd52a66b25751a5,0.05608646,NULL,0x,0
9,0xdb5419db032ed0ee3db64005011adebb148bb9d3a5121beeae83420a836b4a15,6000394,1532125107,0x1e45fb08393ace5b079a8c25532939687173fa41,0x52b949fb4678c20873135ce6b3727949432af1d7,0.544212,NULL,0x,0
10,0x3eeb64ebbee13a114ab20c44dc25815ee56ad01fb06fcca1db3f3926e7e6d6b0,6000660,1532129358,0xf4047a4b0652b481abf4182b9e93d7f91590a6eb,0x52b949fb4678c20873135ce6b3727949432af1d7,0.5,NULL,0x,0
11,0xdf67057c8e41bbc7c9dad36bac0fefd3c4deaf23410a0d10f32d453a0b7ead0e,6005849,1532204107,0x778796e83150b21f050331be95bae6fa516e5119,0x52b949fb4678c20873135ce6b3727949432af1d7,0.51,NULL,0x,0
12,0x77ecf3775b6382633d1e91a70970e8d5463f21a8c173f0e53b240f084d6869ff,6010422,1532270612,0x52b949fb4678c20873135ce6b3727949432af1d7,0x09e429aab1e2ea5552ada95114863705a9b1ba6a,0.22231723,NULL,0x,0
13,0xbf5d5d01ceb8a54c9152a9d5e48c84cd61d276adeccbb82fac7c437bf72f5ba6,6010541,1532272323,0xed31296059eae926ef5bd96f4eec038820ed4177,0x52b949fb4678c20873135ce6b3727949432af1d7,0.5,NULL,0x,0
14,0xf2efb1dbbcf662feb72320f50c9b446570696e26a9bd0f35eedb15690c9513f1,6012934,1532306449,0x381462435bcd045cc497abfb1dac36be4e9f64e4,0x52b949fb4678c20873135ce6b3727949432af1d7,4.3,NULL,0x,0
15,0xa426d63047842070736ea935488a2ebd6902ee9b2eeeaeffaccce13a1148f186,6014797,1532333627,0x52b949fb4678c20873135ce6b3727949432af1d7,0x8321d973b958dfa9ce1905a9b86bbf777c9054d8,0.44941878,NULL,0x,0
16,0xf65f9493769e1efc1163eaf6ad7ad9370386e31ecc7d934fb2d5cf28d6ce3e19,6020377,1532417102,0xdfd0ab26bf305a73e4c87d6877158e7afe4e3367,0x52b949fb4678c20873135ce6b3727949432af1d7,0.5,NULL,0x,0
17,0x175627b8844db5c1a6555b53630257e602430f0bd1ee1f3994fd5429b4bb6a5a,6021846,1532438587,0x52b949fb4678c20873135ce6b3727949432af1d7,0xaf1a3e536c3b76f2ac5fbade6dc526efc36b6139,0.43810687,NULL,0x,0
