,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x6e8e0dd1d53ac4ae2086a1f3a863c43676d7b4e5fe751b042724869508ba13ab,5319000,1521979057,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5,NULL,0x,0
1,0xd36d4e04948d4140595866752d49e1304f264ac42c0ce81f9207fea1f4c0df9f,5319609,1521987792,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.51,NULL,0x,0
2,0x343d9d674d2ce7254efe2235c6576cb1f703482cd09ad79dcc096ea144217854,5319963,1521993321,0x958a9bedc376306a4b7617ab79a113b1268630c6,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.9191198,NULL,0x,0
3,0x70b02585d22f8f0162fa0a381ef8d2f6f881b829199506106d48013f32213b15,5319967,1521993366,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.94695393,NULL,0x,0
4,0x14045a80a7ae79274fadc584e5eeeb501dc62758535d288526af55847c79fd90,5319971,1521993474,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.89233867,NULL,0x,0
5,0x2c42259a3bdc49f5bdbae6342e319c0b48371d61661da01906d3f956f51aad8e,5319991,1521993783,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,4.99,NULL,0x,0
6,0x36d73be0bd34ebdd159a3eae6ca9a717342358935e91a48a0b1c3a3896dcfc8c,5320010,1521994037,0x20e1e3171d7a06a9d63e6b92fdf1546f32b78ea1,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.52,NULL,0x,0
7,0xde184a03eca10c0ae89561f0dbf9734d2fc2fc55c6722dffed75d12526a1b828,5320091,1521995220,0xa5d13bfd6682a1c841821335308d9c876398a3fb,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,4.9,NULL,0x,0
8,0x98bae50b6cd3836673e7cc995156d940da7e3fb84c2dda0335569d932c18751d,5320148,1521996165,0x167a9333bf582556f35bd4d16a7e80e191aa6476,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5,NULL,0x,0
9,0x4b54e72a946ab14df89964745f28634e154aabc3fe2aa00f05508f14efadbe01,5320181,1521996680,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,4.99,NULL,0x,0
10,0xc90f749e2c574a8ad8c3bf054cfe662230df1de913ff5c987da0693c6181a95d,5320298,1521998209,0xccd3c65dbec8faaec66af7e297af5c4e1394eaf8,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5,NULL,0x,0
11,0x9654f076157480e71031de920801deab66aebc7ebd100a74f77e0ecd08e17e9f,5324887,1522062743,0x38fc31bb6ab071e879bbb6b134e8b3704863e017,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.51,NULL,0x,0
12,0x2fc36ec1cdb6188953c564fda0c498531bac5409a86f40152e6c28c074d1e528,5325087,1522065581,0xb9a0b122efd47f72ce204fe65fbd8027eb73a88d,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,2.6125022202336,NULL,0x,0
13,0x1df9e1592c201c4c64a051bd7285352de4c469cb076b7edd17c7086d02b99d9c,5325115,1522065913,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x73e08d9b97a703fe07bf666efea1d79824abccf4,10.0,NULL,0x,0
14,0x1403a4dd7434814a98d58765130f22d78f8ee90a997ef4776fc608e8ea78ff64,5325164,1522066694,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x6f55786a93e95f5d138283a723a599dbcb2cdf69,13.289192620233601,NULL,0x,0
15,0x51074fb88d40b7478d40f5cc0f398613f3e4333f90c819027b9173af77e483c6,5325170,1522066882,0x303345349da72a28d12d5515f145dd77cb84bacc,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.499139,NULL,0x,0
16,0xad40b0bbf9cf595da3ef531ff3accedabf4bdcd746e6b8706e68174bafa525e1,5328189,1522110580,0xaa60786b9b0628e6025324f1109f02bb78ae24db,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,5.0,NULL,0x,0
17,0x065635b5316af3f71ea0dd58e3ee8e3e7a8e2a7a712c9cbbc3e6f25d4b8c9561,5334567,1522203568,0xb9a0b122efd47f72ce204fe65fbd8027eb73a88d,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,1.489139,NULL,0x,0
18,0xb5fc87f93e432346ce72fba44b8ce8bedbbe523d979e679a6f609cc4b6e4ba83,5337429,1522245916,0xcdd4a0a25d9828f54515be9942aa25ed97d7501d,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,1.0,NULL,0x,0
19,0x277278a2d81a4c1d0ab539b25a83f4594071c77a9b9bad4cf88e07218f62170f,5337909,1522252909,0xf1dc1cd44280786d0f04999a0546235137c404fa,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.945,NULL,0x,0
20,0x46c3b47d6461448da716bf7278c11b79517bc8d60aa88ca90904413871e89d50,5338327,1522258693,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5,NULL,0x,0
21,0x076b9e717106d16d17fa5962d5c2c321ba898dd6fc0abf57e30e13421d3da8b7,5344201,1522344810,0xb9a0b122efd47f72ce204fe65fbd8027eb73a88d,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,1.999139,NULL,0x,0
22,0x4167d13c3c7d6b65c8d911ab176d61bff8991fd11bba427af6cabb88c71dd602,5344226,1522345168,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,11.431556,NULL,0x,0
23,0x40f68d91c23275cfa4b372884786eb7c0464ffdc2f534c6414cc05921189675e,5349398,1522420664,0xc13b5c96a4ff9bdb991fde16213ff42fb4b6bd49,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.05,NULL,0x,0
24,0xbd9c45d40482fb760eba5dc22f2a66dde5ec980ba34fdea6cea27a1898334cc3,5349434,1522421294,0x22b84d5ffea8b801c0422afe752377a64aa738c2,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5,NULL,0x,0
25,0x1ec698ba09096df7d3162fa5ba22c04dfde2774f43ea545f207194a2b1eff53b,5349601,1522423512,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.5995024,NULL,0x,0
26,0x563f81aadef8c6958bd61330333d51baa6652385f30d946af154f9d6fac5c732,5355569,1522509228,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,5.99,NULL,0x,0
27,0x0c201a16b304f9282a2448832e75587445fbd6e1e6c1b54037f4e033e5277092,5357232,1522533043,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,7.1386414,NULL,0x,0
28,0x5f1f983e4b73913b8efa1fbc18f0bcf20f6a6a0043f429d3dac746af3e0ae204,5358177,1522546473,0x6889ef800171a607ac5b4ab9bf013ebb3b1e948f,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.51,NULL,0x,0
29,0x10c682b6edf8f801885f050e5452fd4087077fdbb03630048a77bef3324f2d0d,5398089,1523117360,0xf726dc178d1a4d9292a8d63f01e0fa0a1235e65c,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,2.27656118,NULL,0x,0
30,0xd0ebda64ee841264d1928e2bf11828f07e00d9870874bec767a0376c9397797b,5506842,1524712946,0x2b5634c42055806a59e9107ed44d43c426e58258,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0.99,NULL,0x,0
31,0x0f723f1fab7f354ea56baec5923045ee96ed6d98bee1df45d1780a29015fcc69,5560859,1525529303,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x665e9b5c47a429f01658e07ec23943a1eac08dc4,1.88,NULL,0x,0
32,0xefe29583a0615db36aca43c769b2a91981b1ef490725e99741811e93edf0391d,5726957,1528056560,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0xa860c720def2580e2eb38d0cd5ee1380b1c0432a,0.0001,NULL,0x,0
33,0x552d6fbf953ffad28d8a3b65f86ec8e0107752d496bb2010c053e7ac87cdfe0d,7366182,1552553663,0x5c9b3fa74e0700a3cbffd168c7342799a163ba53,0x72a102dea210ab8267d78bda69477aa2dc556ba4,1.89,NULL,0x,0
