,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xb0e1da119b7bdfc983c607a3b5b2e97d508932ae446f5aec984142ded5501e82,5218262,1520509259,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.82815444,NULL,0x,0
1,0xd3cb44ec121070de51467a70b1be786bda28f99e9b053150f6b6118a545cea3d,5219015,1520519672,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.69,NULL,0x,0
2,0xc2f06e92900a2a7a3a1f512598cb9151137d6f2dad17b6e7e070d605333e2d64,5220468,1520541571,0x15b3f480f2f99e17978bd6dfa90f12839d1ec92e,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,1.0,NULL,0x,0
3,0xbfff276cc03b4ecbb188c59cae107b7f6fe2ca1102413ef2332d8ea4247eb66b,5220822,1520546587,0xb18680a8faa92273c53aaaf9b05b4a2b9ff0e0b6,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.69724454,NULL,0x,0
4,0x5dd7e05c0970250cbfdfddb535437f21a528abe8ed0bd1c42b4bf366b40d46b8,5221032,1520549823,0x5d2014909a037262707d709d31ea791fe263b492,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.063,NULL,0x,0
5,0x66cb9944aa25be37289414a95c4f5af98fb4cbed758728fcf90db08f7534ca53,5222725,1520574332,0x5473738d9ca3d513827c5f8adb57e750fc15f1e8,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.5,NULL,0x,0
6,0xabcac3e32be565fdbfa22dd933e6cf0c8e4b7697cf51a7f538a0e3b5ee001f53,5225408,1520614275,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.09,NULL,0x,0
7,0xfb026d4e815d842c766f42c4df927782d2fd870f90f53d060b575e84be46605d,5225464,1520615184,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0.88740495,NULL,0x,0
9,0xdb12c73286ccb2f2b2a96843e3a587324707018443a7e8e2e0044ffd13d34030,5232454,1520717863,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,1.28330161,NULL,0x,0
10,0x7400f7a9551486e945946535b8fe7a07a0bd2af22c147149ac50afbbfe6a47e1,5318676,1521974185,0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,0x074de5ed74fa7fc7d569bc149122855c3d174c53,6.03868554,NULL,0x,0
