,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x26b631d751f106dbb31b2963278b42addad72d6db46b9d16877b2eaf035996e1,5782009,1528898941,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.06908779,NULL,0x,0
1,0x19761faca19f3b4159d11bbb93c25607046a34952e2887b3ce0ea33f0a3a06ff,5782037,1528899375,0x564286362092d8e7936f0549571a803b203aaced,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.492857,NULL,0x,0
2,0xaac73ca71676a1dbaf90bdbc750c9f86ad2899dde28678b35b28a398d7b81e20,5782458,1528905731,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.55236,NULL,0x,0
3,0xbb17b2d24c09fcade852802542050a75b11fcd3a61d149a24ac22cce0477ec7d,5782664,1528908893,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5864756,NULL,0x,0
4,0xe6318b038b01219ca0924ee48f21fafc40aa88bd590b53e6af016ef77f7a1f23,5783027,1528914514,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5,NULL,0x,0
5,0x53c325a77b09935998a0692f09cfa87042c71ac21cdcb84531c3e138b6fb712c,5783075,1528915193,0x34654aed4d3bd8ea58bc87a6c582df5bf08c9702,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5,NULL,0x,0
6,0xb0136db0279f7dc6d60e26d97f3d49879d787f0f01d6de72179b98ae9ff01552,5783130,1528915863,0x505d7e77f981e3d0dee1dd671ee2be0ca5454ead,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5,NULL,0x,0
7,0x4b78bf0ed0f0bd53c7025bb3fa738ce8d6c555c124a915f96f1fa2a5937d71de,5787072,1528974451,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,3.20036039,NULL,0x,0
8,0x4b78bf0ed0f0bd53c7025bb3fa738ce8d6c555c124a915f96f1fa2a5937d71de,5787072,1528974451,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,3.20036039,NULL,0x,0
9,0xf1e18b7b7de4824b3e7d85a0e64864bfe1009bd627e7ef401723dc8f23e93502,5787675,1528983535,0x3408e23eab09024c55012908b015eb15d048cf2b,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5,NULL,0x,0
10,0x2a5f832c10ef4b6860734890a6087dd6274f094959af7f6f5b3499326bc3e7f1,5790527,1529025852,0x54adfdc1aee171a9091632de12dc11b01910686e,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,1.0,NULL,0x,0
11,0xc1ffbe1c64e0c0460a102b45b332945577f6f3fc8ad9379bb8efc84c55fa5fc8,5790618,1529027186,0x54adfdc1aee171a9091632de12dc11b01910686e,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,1.0,NULL,0x,0
12,0xccb308e40827fb9b94543737d48435fa6d6ab2850468b3afe3c44d1ae4073303,5792551,1529056158,0x5f70f76cc407049d73f29d68952369662909b4fe,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.5,NULL,0x,0
13,0xfdf1d72c1a64a3fc18426b7acc926f0f62abffc76d68ab3898f8ebcbd794662a,5792623,1529057248,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.98,NULL,0x,0
14,0x113a36d9f9ce4bde4e80e3774055bdcfc2f7c96b6e256b73b9c1d341f73cf24f,5792940,1529062033,0xe6997d1e5cafcac67710dc1c25648c5cc3f5a8b5,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,1.0,NULL,0x,0
15,0xf3c5206b36823415e9a9b0e1b56fe1901c6e1004108c89cabcb70c8fe49e2e5a,5799938,1529165613,0x57862688b0f8c4e8539b87ca8c54d2faa35b491b,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.50021,NULL,0x,0
16,0x442f37b432069794a1f731d21b20496681bd4defa1ead5ec075cd184c6c528b2,5800238,1529170228,0x564286362092d8e7936f0549571a803b203aaced,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.536,NULL,0x,0
17,0xc6fb09c2fb5d80efd7610b80832e26863b3ef872d1d012ee2e554188200b6566,5806418,1529260922,0x9a4969722f18c0eba3d2dea35fad82f095761b9c,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,0.50723149,NULL,0x,0
