,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x3a54a67d8146b83764a0aa7948d731548cd0f86ee4a53fff5a542f86d49269e6,5183595,1520001759,0xbb53be0690ae7256833099a1f01125eb33445692,0x68329d351d2a0a885a4857195d697cce2dab6177,50.28727193998195,NULL,0x,0
1,0x413fdecda260c0409738e709c0c80690d09b6ac5364e7bbc6bc5b9481de0648e,5183613,1520002055,0xa0bf76c8de60a1089fbb8567b2beeca6ec01ca32,0x68329d351d2a0a885a4857195d697cce2dab6177,9.3,NULL,0x,0
2,0xd7d4508b41576ebcf421cf2c0b6624b5353cc23cf9cf5cbcc693cf27eff8fb97,5208741,1520369461,0xc60ff6047d64b2449a17576f07aea17ad979bfd4,0x68329d351d2a0a885a4857195d697cce2dab6177,0.014750088,NULL,0x,0
3,0xe738e4721cb154a25fefa1d38ca958e1b929314b69ed7bdf73f56da0298ad528,5208747,1520369516,0xc60ff6047d64b2449a17576f07aea17ad979bfd4,0x68329d351d2a0a885a4857195d697cce2dab6177,0.003915764,NULL,0x,0
4,0xa9d4e10c99f45c5e91c83037dafdd1404e536189c32df27be4a57139e8db82e8,5208783,1520370086,0xc60ff6047d64b2449a17576f07aea17ad979bfd4,0x68329d351d2a0a885a4857195d697cce2dab6177,0.002555864,NULL,0x,0
5,0x968f2a90e14946f696901b80b955a55a090e692852055f8acf1d223ff949ff53,5208788,1520370113,0xc60ff6047d64b2449a17576f07aea17ad979bfd4,0x68329d351d2a0a885a4857195d697cce2dab6177,0.0168,NULL,0x,0
6,0x95d76e0cec0dd4417b75f11d4f3068311fb1571324fd81ed88b53b997d5f16bb,5211350,1520407477,0xc60ff6047d64b2449a17576f07aea17ad979bfd4,0x68329d351d2a0a885a4857195d697cce2dab6177,0.007566435,NULL,0x,0
7,0xb6ac0b658e3bc5656467cfd3d3244b438f35ed2fe544f94070bc050fa8a05199,5214903,1520459762,0xa0bf76c8de60a1089fbb8567b2beeca6ec01ca32,0x68329d351d2a0a885a4857195d697cce2dab6177,13.0,NULL,0x,0
8,0x161d765f52316bca8ade002a15cc94d86c43906124f1747e4bacc01b19012483,5214925,1520460082,0x68329d351d2a0a885a4857195d697cce2dab6177,0x7035b6a26518216e11f58346d125b41fa2fb1d34,1.0,NULL,0x,0
9,0x255a4de3c57c26e4ba4af1570f98158a3e8b122159de63ec19a16952a15ae07f,5214955,1520460558,0x2b5634c42055806a59e9107ed44d43c426e58258,0x68329d351d2a0a885a4857195d697cce2dab6177,0.99,NULL,0x,0
10,0x7a7c767fac58f57380881b3b8795a01d6b4aa6e3c031655899ebfbc877c7c02b,5244945,1520900522,0x93d4c99c326f0092b053048a7dbde06ed3e05a18,0x68329d351d2a0a885a4857195d697cce2dab6177,4.198809428,NULL,0x,0
11,0x63c44d6409cbc679feb79f5898f0428e129c0d2829a373cba801da8f3beee17e,5338854,1522266246,0x0fadcaeb1c7197f8bcd7ddf124b378d764761610,0x68329d351d2a0a885a4857195d697cce2dab6177,1.5433263117555778,NULL,0x,0
12,0x367c096e5619aa1f940ac494dfd2af1c25d83c4395d41aa815c2e8ffeead64a9,5389602,1522995832,0x68329d351d2a0a885a4857195d697cce2dab6177,0xf87d8c781979e4cfe14da4366617197bb6f1f235,78.36392483073753,NULL,0x,0
