,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xa08542e9d0072c1389e234a9bfc70133ad9eae53379180bd70b80daee1bf3e33,5909756,1530790994,0x9d96b0561be0440ebe93e79fe06a23bbe8270f90,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,4.1,NULL,0x,0
1,0x5a537ceb2bc619a61be0ba27a7759835dafaff8833ed729aa94024eaf623c78a,5909795,1530791493,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0xb9cea999eee3e5a57dda1ea8d39b2bfa59704a86,4.0897499999999996,NULL,0x,1
2,0x359b93a378c500b4d85930f7a4b16df6ff391416b225d6b46c655619c3ab97d4,5909929,1530793451,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0x60afc5761212ed59608b0559b4ccbaad24fc74b1,4.088856978999999,NULL,0x,0
3,0xf1ceaec185e7c51d93819da98bfad1c65d40d3c7728e915e866d7c2266ad0f1b,5912275,1530828463,0x564286362092d8e7936f0549571a803b203aaced,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,3.0,NULL,0x,0
4,0x7d1b015ade69ae3534195a56784a4f718df3100795f49334c0568221f50cbfd2,5912383,1530830160,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0xb9cea999eee3e5a57dda1ea8d39b2bfa59704a86,1.0,NULL,0x,0
5,0xf8f0f810d4fb29407e7ded3b92c8379800898664240871f9030f72c0dd7801d9,5912452,1530831312,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0xb9cea999eee3e5a57dda1ea8d39b2bfa59704a86,1.996012709,NULL,0x,0
6,0xc31a1bbe42cc9a8aad0eef57a91ac67f4fe1043a419b651d16d2c2c8ef4fcd2b,5914582,1530862638,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0.02,NULL,0x,0
7,0xe6f8dd2214f285bf2d1c20e70a469013c767f6446f60446078ab10e24d40db98,5914732,1530864625,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,0xb9cea999eee3e5a57dda1ea8d39b2bfa59704a86,0.017488709,NULL,0x,1
8,0x94c47db4c6627d4d3f2baaf1ebdde7c7430690df61e7929d60b765043e712951,6745865,1542807244,0x2c60a03df953731288e8f54de7516ef95eedde38,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,1.0,NULL,0x,0
9,0xabbb81d6fd94ee52bb8c975cf546278de316f5e548963deec3eb096133c701a3,6745871,1542807350,0x2c60a03df953731288e8f54de7516ef95eedde38,0x7c6fe23375e80bf7f54dbd4c3fbe19bb0390c3bd,1.99601,NULL,0x,0
