,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xd2e477df54d2bfcddf57c37e992e6255e929a878b35676fd116d467f707b18e0,5782172,1528901559,0x416299aade6443e6f6e8ab67126e65a7f606eef5,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.501,NULL,0x,0
1,0x3d64ccfc84979500f533b3df0262452b39e0aea74f11a58d1d758f2f0b7bdb1f,5784149,1528930200,0xa61431c8fcdfd4d9fb51fb2c5630a2a1ebaf76c3,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.200044029,NULL,0x,0
2,0xaeed0a6c22f8c9092a8445b8c4d08f237ba40e6f8cb32e14e4b76df59efef8f1,5784162,1528930407,0xc4ebb49a4f71cc8b22523862e0f490df4b93a568,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
3,0x8060d1701b9e20a3ce16db038ca279ca55820b036148041449ec33151e5085e4,5784433,1528934499,0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,1.0,NULL,0x,0
4,0x6b1b96c6f063c27b32c91c562d3f8d2ba519cb0676d384ef032afa1e0544b003,5785264,1528947003,0x7eee1ec1ebfca72baef8c6b5a2ea112f752def4a,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.495,NULL,0x,0
5,0x2cdd11d145d1ff3383f84ba1ddaa7056a937cffdb58b2932ef14e1a8d9379e5b,5785355,1528948583,0x51836a753e344257b361519e948ffcaf5fb8d521,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,1.06168393,NULL,0x,0
6,0x390aede44d95e66fbfc414d39fb7ac40b89e74f17027570438d8d1fe63763d52,5785664,1528953216,0xe405925eff6e21893f2ce7c69340ed97f71f0601,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
7,0x3a4d85eeb0c7fbdd1352f2b3a669ea7251770c13a4770eb6c4220a11d39de2d9,5787221,1528976764,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.58969929,NULL,0x,0
8,0xf728ab3b161e3269e70a88d431a2c9629f22d71691e2e1732b560bc365b6ce43,5789893,1529016399,0x55e1b54f443a88cdf49e1c6bac78d1855e17c05e,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,2.6,NULL,0x,0
9,0x897976d5edd7d95b7ae6ee899f1b5a24f376a32329a66918328d3943672a3134,5789946,1529017060,0x9b6db39a5d2613a58a4d3e8f097403660dd69e6a,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
10,0xf2323c7ddbac8b8b7d17a2f349fc75115d7a73239509e78eff0e52a5ab847748,5790290,1529022377,0xc5efd214bc3196a3b1fe41c4aa1ab1c9f73d0eeb,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
11,0x60d3d421d47f5ad97278cbd53699571aacbcf73a1cebf9766b9cb2602713c161,5792003,1529048234,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.609,NULL,0x,0
12,0xf1a933e1177d5b234d0445aa046703542210bb656f422e1a1bb08434b912ac98,5792957,1529062369,0x1c518b7d20cabea11d14d670b8bf5ffd8d1ac24e,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.525275909,NULL,0x,0
13,0xfa909557290e229280a183ba1472daa90c10a90c746edabe6176a601231b533f,5794102,1529079524,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,10.090601609999998,NULL,0x,0
14,0x0d3f9c2b44d5ff861d0c531fd825ee4454a142f07939a65806534efb47a6dcfd,5794141,1529080188,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0x3583005318ab3a7fc7afe72a55cc06d0fb4954f0,20.6818,NULL,0x,0
15,0x149fb4b8621a323df483a21818c896000989a4dca111e1500a82bea7333f31ca,5798321,1529142359,0x1583a183b119f497ec6b9307651bb1ec9d42b68e,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
16,0x83f0d7a82dde01e55a378669999ef41120a9cf2e707476237d20f0157732d96f,5801882,1529194110,0xbd49f554db1521f5b4b433a104f61e06c0eebc6b,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0.5,NULL,0x,0
17,0xabf15be2cc612c65786473e8c6f9c70a8ec991bb9bfd2dd6a588fae90a48270a,5830371,1529613118,0xa6f2814c0020c38882e82d9bfde7b485a7297a1d,0x56dfbe83fd4fd66c0c3711f8cdd509420ac7e31d,0.9995,NULL,0x,0
