,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x57da85aaa71eb30666e1fb02f50920f50d4e1203d917b14414d337047a209b8e,5495757,1524547311,0x35d1320a89cd1cd4600574154930013cd0ce139d,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.8,NULL,0x,0
1,0x53d03b31038461f6133ab47538eb25dd673f9117cc293d4c239611953fbdbab6,5496986,1524566597,0x0ca95b29b337e204b37a434d2eb31b730ca7c964,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,1.15,NULL,0x,0
2,0x3b9c252173bf1cd80b8bdeae1fece00d014b3ee9a15ea8f71bc5860b6d92ec0a,5497557,1524575272,0x1d82b34f9d631c37d5a2bc96a48706d38a73cd0c,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.25,NULL,0x,0
3,0x1114016f1d029c7710e09e734ede229068cc0d07dc8da8567618b6570de23f45,5497665,1524576910,0x1d1a2bb57988bb05304a719cc7dc6f227adcaded,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.5,NULL,0x,0
4,0xe53117e82280eefe1075deaa8aa89bdf414485bd63b0b04289beb23711ac8553,5499598,1524605368,0xd417a1ef4a38c6bcd8e454011b1d400e17094789,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.5,NULL,0x,0
5,0x73c4f8735112b2351b064621f6d4d5ba7edc34d2ec736958b200fe7b9cef5ea6,5499948,1524610298,0x564286362092d8e7936f0549571a803b203aaced,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.51400254,NULL,0x,0
6,0xbc4bf846652a77afe41d390d54747125b7bd3ff040566ff605f5e05aaacc0ac9,5499981,1524610911,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,4.35839445,NULL,0x,0
7,0xbb9cc6222306c454f12a2f9a810ac3998675c9928d81c9276059ce06b06a8bac,5500013,1524611390,0x22e825e04206f4f13773c26b546a6ea40630bb0f,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.53,NULL,0x,0
8,0x767d1e91c1621a9d0c2bd72d2684b92d9bebc2296e72f99bff297a2bb7828f52,5500157,1524613727,0xeefd4c584cc44b62d6930067e93367624587e77f,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0.5,NULL,0x,0
9,0xbc7c52445eea5979b0975fe37f13218b4c8031e5881ffe033637024a9e464112,5608993,1526251984,0xadc11274992be650e4f7c8d8a1be6001c4a7e1cb,0x868413a5d2fe073114e5358c576779ad10df2644,9.09239699,NULL,0x,0
