,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x603e8d900ca5515c679dbe1cc173104764281e54733751847b7fefa1ccb09e6a,4289112,1505776982,0xacd40c5efe9fb5158218d27bc2f0e2fb8f76b6a8,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.1,NULL,0x,0
1,0x82d3297069beb59689a0211f22473ff0dc2278141b51bb9e708e0dfa4192c007,4289126,1505777210,0xacd40c5efe9fb5158218d27bc2f0e2fb8f76b6a8,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.1,NULL,0x,0
2,0x38d0f2dc47ba9c3bbfe1023d6889e0cf62ff2af134ed50077ef6c0c364b180fd,4289216,1505779366,0x957226843e2659291e5f19320f77e4306078171a,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,1.988,NULL,0x,0
3,0x95f3714c6343f152f9fe2ee46c3910a964e00d76fd84333d4e6e0f1787a77912,4289375,1505783287,0x5108cc0d29460ae0f8f2ad44819c3440d0fba555,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,3.48118565,NULL,0x,0
4,0xbc87284f8fdb268c9064be1dc77aff8d5bb324f82de33d88c645da62ad0519b0,4289437,1505784710,0xd6ff4393620b0c2eb0f381073fc5378f8333c6dd,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.02,NULL,0x,0
5,0x931ba101efeed9d84c23e8d9607bfb546a601b99398bb95bc1e58eff12b09eaf,4289900,1505795950,0x85d0743d2c841e9625ed0c4829a98aed57be31b7,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.15,NULL,0x,0
6,0x5a92254c11e213b9aa31a1fd00d0fd08c82d407e67ac0f6b071c1c7aa686252b,4289900,1505795950,0x28a06ef1e7392959bd155342ae57802320a218ef,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.45,NULL,0x,0
7,0x07b5775515a487fcef639799886b5baa095c32d0953e9d8aed84b0af0c030dc1,4290075,1505799927,0x28082cc8c8bad22403e019ed11a16d4054264050,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.1,NULL,0x,0
8,0x0c4788977403f65b303859fa4aab764017608e29dbc3b4f49e72385fe6adeda3,4290188,1505802369,0x96155acf67d9beac8ce3921ea7aff7df680f698a,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.37,NULL,0x,0
9,0x479d2a71c12bb347a7871bbce370928f7b6598ee8bbae82210135f7da1eed695,4290385,1505807073,0x7ed1e469fcb3ee19c0366d829e291451be638e59,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.3400248,NULL,0x,0
10,0x8080dc837a489f947d9b6f1be21dddfd338108e60acdea944c5fbc514905d8ae,4290441,1505808418,0x3f198be39aa90e9984d27097a55f4f0bbaa67b10,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,1.0,NULL,0x,0
11,0x6ca44380d401f389ede17367e34fc5d25d2950b72a6c7c18dcb7cb3525102789,4290619,1505812693,0x1c7b5f0cfde040a9b30875f9af4f61bb39e79d78,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.389543052694017,NULL,0x,0
12,0xdef3de6c6cd834d6fcbeb5471fbeb715fb8ef405a62fceaab2af1dbdcf61a7d1,4290851,1505818530,0x1170fe64f6a53b095fad114f5de9b3777f8752a0,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,1.999559,NULL,0x,0
13,0xfbf4f4fea5158246e74f0fb9e2bd13d57856308e22d7c637ad7e95b449f50a8e,4292592,1505859882,0x3064bdbdcf106789a546c45a9457b9862ee86870,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0.67571789,NULL,0x,0
