,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xb6aff491a7796bb31ad5b68d18f919994d0d077538644beb3aef019f47651d36,5661910,1527061031,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,2.6,NULL,0x,0
1,0x34988455919c5da7ddaac31fbaf4ba81441cab7ae0cc4613daf6ba428e8b48b9,5662383,1527068749,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,3.3667833,NULL,0x,0
2,0x7360b5a5b3dd7b4755f49b6c9daedfec282712e7c4de82a400c6af8cfd85def7,5662606,1527072237,0x7c1d9f298603fb55eb1bdd27e797d2762029031c,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,17.4,NULL,0x00,0
3,0xeae6e466910ac5d60d1845de29cc01d0ecfbce5a8091b1137e42ad8e5ed19387,5663513,1527085738,0xf76fefc4807588562cfce4c7706c74edcee4ee40,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.54387766,NULL,0x,0
4,0x3f66cc6797e7426c574072a233851efada72d7419ad3fe334e180e15a4f267ec,5665143,1527110650,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.49,NULL,0x,0
5,0x7479ccebb58895a32c59d947fa515f2be034a3353ff58b86a27c912fedbff12e,5665248,1527112073,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.59528811,NULL,0x,0
6,0xda17a45f49322a9480e1726dbc591c45a5c04ab3f32751a4112a273dfdb5a85a,5666924,1527137268,0x80d6a15ca939209bfaf7705174d419ebd530835b,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,1.0,NULL,0x,0
7,0xf8767f7e946f161a4c00e88ab10eb6b5aa3ecb001ec4d2a021b96d72384aea26,5666981,1527138112,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,4.0,NULL,0x,0
8,0xa982af45e306c7ccea489d752b2a1a6422f3fee2cb95754a333695f8bd8329d7,5667080,1527139852,0x0bcc05fde658d5aa55a82afb660ece0d6332116b,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.5,NULL,0x,0
9,0xa3c53aff50f6b1f8193a9f0d7efffc670c4972d85d684867dc4417e5561a7834,5668827,1527167655,0xa95350d70b18fa29f6b5eb8d627ceeeee499340d,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.5,NULL,0x,0
10,0x346637081884f189030785145f435b6c17087bf74ea38ceee43d1e6d8fb55ee4,5669554,1527178686,0x1849448c2ac14580878afff4b5363ac23d470992,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.5,NULL,0x,0
11,0x9d1d73b635cd496d1a6f981c41117aa4eb8ab3026335673e329def4f7195b81a,5670643,1527195462,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.49,NULL,0x,0
12,0xbd9fe48d5a578a97f724931873372116bb8ecb49255337dd8d26024ed87e817c,5673897,1527244554,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,2.1584485,NULL,0x,0
13,0xfbf8861b20e0c86304a1e34fcfa6ccd76ac0c62879b460c40cee5c4f23e61811,5674163,1527248672,0x584f69f58a52f58c4dc374da9758f8dbb08b11bf,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.5,NULL,0x,0
14,0x58ca1e8a298ae512a3b44711246d7b0e80ee36cfee0aa9e32e3ee32da9589f39,5678686,1527318800,0x4e6c9ac62116b992a2140e44734e1091d20b905b,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0.5,NULL,0x,0
15,0xbc63122315df0a7744fa30f38d81a707c3dbd65f2837031e0a60208ef7a549d5,5680016,1527338435,0xe0b9e4ed6e380f663277b7b99ada43b13ab45335,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,2.11719168,NULL,0x,0
16,0x48cd0beae356c987b83eab767dfcf477381f9cae5f74cc9c58d476de74958767,5805392,1529245538,0xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,0xd714de3682d12b137951384fcdbb2392418d6a43,37.26072825,NULL,0x,0
