,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x4e6c018fa4150b52969fec75462920a3ca00384b1863badc134b3f28a2d6c50a,5498626,1524591292,0xdf5e01f71a4d3b8ef49bba116a54b4a426d71ad1,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0.51,NULL,0x,0
1,0x5758a751ed7fa2b9a3df0fc51b4828d352736d47a1f18bbb50702852d9a8e523,5503181,1524658393,0x564286362092d8e7936f0549571a803b203aaced,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,1.0,NULL,0x,0
2,0x91700d70559e6056f2a39e70642ab09cce4659001f84f6adaf135f97f2311da1,5503965,1524669597,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0.5,NULL,0x,0
3,0xd1e15f2387ce5b1cd829c3a919f64723ee72b8dc5d3e0f5cb87c8695040019da,5505847,1524698265,0xeb574cd5a407fefa5610fcde6aec13d983ba527c,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0.64330697,NULL,0x,0
4,0xe23a53fa21cee173343f64c14a264a5b0b85b0060b60d23118c0375d33465c86,5505997,1524700546,0x04d78775f85f02943d9a8c53485669bc9cc87cbd,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0.6,NULL,0x,0
5,0x34905fd9a4a98e727c036c21572b7cda6799d69ea30431f40a9877506a115299,5513848,1524817847,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,2.0,NULL,0x,0
6,0xd3af4a6ab1dd26b26d8296f8cacf18585d4fe32a4f4c98d93f6e808cf91e1a93,5513880,1524818485,0x8271b2e8cbe29396e9563229030c89679b9470db,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,3.0,NULL,0x,0
7,0x580f556d851b41a57a1ae46b6c1cbc9708d2837e217540a9877c13cfd508fe17,5520840,1524922629,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,1.0,NULL,0x,0
9,0xe946675820883cee78cb54369aa6c02878e0680f5d7a20531ed8b628c297fe47,5536534,1525158629,0x6b906b65de59933c88f94b8179ce3b86092b8f46,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0.5,NULL,0x,0
10,0xf1c8446ce72d3108910f713024a8061ce3debea2ccc339aaf7629d4be2a777a3,5559802,1525512968,0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,0x3410ddf383a51af84e352daf8cc057b1b9f818c2,9.75225697,NULL,0x,0
