,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x5f5cd71bb20e54f8a54ab241010e5eb6e64842c503faf8eb672408135ebcebbc,4970637,1516892854,0xdce62fec1f1f0c55c91ea48d9f31f1cb1f8e288c,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.95,NULL,0x,0
1,0x37af99a09f613cb64589aba0230d86aec1697ffc05d9800a49f7c3c6205b5236,4972323,1516918259,0x32efd7e09f625d447884abd6bdd998d5d4b8e577,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.5,NULL,0x,0
2,0x5784e25ad7738b7a483b6d0ff4e5546c19ca648a398351927adcc4a7b2febfa1,4972552,1516921278,0x4986ff14dea286a72afe4601db4e02ab3c36c256,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.5,NULL,0x,0
3,0x26b097a6f529baa1a038e211719a3c1f8053dc0e46d70dda4378e5ea8f6c25d4,4972653,1516922697,0x52b0cc4f39cb8ac7b17432759767ba7d3c97799b,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.26490445,NULL,0x,0
4,0x1a8f3751a3969835caf632d793ec1f00e35e58b70f5ad89119fc66fdac74c1d3,4972908,1516926246,0xff17460b0d03b35698cd448c58e406f53f76bd4f,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.96582465,NULL,0x,0
5,0x8381d58a8d2ed41c0bc7d217cf7761eda71d6473aa90823dccf1c70d30b66d07,4973399,1516932947,0x520401761bdecefc71e1a03162d95fa06ac56961,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.03,NULL,0x,0
6,0x10e5aad81d046f8adbcf78decff8f9c3f8cecb9ed34e1620c9198f0b1e4661b7,4974214,1516944822,0x8fd90d0c65555d0d3e9d3f8b315049426b140557,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.5,NULL,0x,0
7,0x6fee41e4d6ec8b9600a8b2233aa28a0d9b282aa4d35c04f2721ee030b3a262cc,4974234,1516945081,0xdbcdd6f747255f4463f2b8c769c5e65a747f00ea,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.5,NULL,0x,0
8,0xa0b2881033c11f087e69984ebd7befcdc9daedb81a3e9d361f0ee8bf9403a404,4975143,1516958528,0x43636b5597154ee0a07c9801ccd8c4b95ee11309,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,4.444,NULL,0x,0
9,0xd6c8fd58dc32952638a95a6b725087980773b7be02ec60a89587a4143d31824a,4976002,1516970804,0x1ae7f41bb06e39ac6700a1b6e4f019670c47b77a,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.05,NULL,0x,0
10,0x9336e751dc4889133c0e76d81492251251108f9f1efb2336031d13328b36aa2f,4976194,1516973405,0x49338c133df5c1ff51c8c8f045af2e71df345303,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.5,NULL,0x,0
11,0xc784560b5586475a7392f167768fa84eb1fc230bf2bb50f49aa49049d894a237,4976300,1516974983,0xbc8809722bec135262a58112a0ac654b8d96a216,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.5,NULL,0x,0
12,0x41285d85876a8502a1ae79b770192f9aa2aa1bc346e0621f402337fa348967a7,4976372,1516976057,0xd931b79ae9fe8109fe86293dc70bb07119599f00,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,8.44083643,NULL,0x,0
13,0xc1447c3eda4cf1a58a60efa413d2f6b59c9e5b5aec7435d9c599c0e4f04ccf6c,4976397,1516976424,0x3a4f7ef071f39c015fce3d44cf72baf67858549a,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.0,NULL,0x,0
14,0xe7ba4cb793175331e5c38a46626b992016ce65d3c30769e497fd2b3498e35d32,4976423,1516976827,0xcd054f49fd868cbb6545b69eb3c9c91dda905074,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,0.70995525,NULL,0x,0
15,0x4319f3bc4f9790b26f99769599c2d27d302437e0898b259f9dbe2da188f2fec1,4976429,1516976926,0xf914050f7d1d3c8f48ccd230c12b1deeda2f71aa,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.01,NULL,0x,0
16,0x0de7e6d61ef8c22050e3354a33c8f29e72fc07eb68bcf36aca4b87684955b5f0,4976733,1516981709,0xa753234b8e94da640c1b3ea0145ce643b57df08e,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.9992,NULL,0x,0
17,0xb6087178c441ae1d1acc91d4ad9d6a146c9b609d49e721268f79013139baeb82,4976874,1516983641,0x913b235895ea0c457ea1c341c65521b086a534fc,0xe0b13c073e8173b06062c69a160ebb54e2af86c3,1.0,NULL,0x,0
