,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x99db7303dbaa8c9a1d9c70c5cb4bf8db54ba19fcf0596516a596d7c82d51a1dc,4966171,1516828153,0x0581641f4b92f9ab78a280ddb24f605872091380,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,45.49,NULL,0x,0
1,0xe8014afb1f39c97033d0e077c48b1d18a8dae58dd7a207fd709e7abc7635bcc2,4966205,1516828686,0x8fcc7eecb450d3012533f79d43257f517887c529,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,49.25,NULL,0x,0
2,0xbbe54f39f2036fd7233fe87aa866acab1bb5f68a5c964a45df6a17bfda02e524,4968583,1516862633,0xc2d7fa0e05325d4be25cbc5f3414b4da118dd9c7,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0.986517,NULL,0x,0
3,0xb99812200bc7b1e9dcfeb475b7e9db0b2bcbfb824c1da717141c9acafc5084f0,4969131,1516870880,0x7d07d21079ba0223f88a2fe2f8ef221ddb7b712d,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,36.07951887,NULL,0x,0
4,0x896ad239a8fb46b145f1aa192a06bb067dd2a0d62ff9e7d730c66c502fd78af3,4975260,1516960087,0x3ed34db76c30773d0b85f3a94958030ee760fdbe,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0.210517,NULL,0x,0
5,0xb65bfd42d8e360631c9c9e88af39cccc94880760b03a74ac1f273261cb307a63,4976277,1516974652,0x2dc7becf676eb2551d20aa9203e648e377b839a3,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,1.07246841,NULL,0x,0
6,0x4b8fe15f0b08662070fff7db98499b7ae4d561f5cb2e1a5538abe67356dde9fd,4976300,1516974983,0xf5792b833d196afda235b01698bcf98a4dda8b6d,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,6.0844660489999995,NULL,0x,0
7,0x0513274be6ab0ac43ad03dd31fa2b535ec9734aa6124de4a667c5adb8209101a,4982460,1517064810,0xd10ae382c7047adb4bb7aedae0bb7bb3d920db6f,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0.6098611,NULL,0x,0
8,0x961c2727fc9d74b97e9fe5842fb01c785258c81ab342bf3d7c7b5657ecfd8cd4,5441079,1523738747,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0xf53562c7376b16f8f9889c851f23728439140ed3,0.2,NULL,0x,0
9,0xe48cdcf939826013ee68f9cc79a15b5dc3d4175ac6cf2cb5793e03cf1b0861f1,6317391,1536745607,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0xd305a960c2ebcff51c26c6a29b1129dcd2a54fdc,139.581626429,NULL,0x,0
10,0x534f317413012397df34e3f8ffba5dbe422fa87e37a2bb82fbf1b13036122e35,7027931,1546898688,0x144826ded37a161f4d0aa7e5884131750022703c,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,48.24138936,NULL,0x,0
11,0x4a312f27294f601b53a2147bd00b610b2614adf4a1d038fdd28e3d29f4cf15c6,7042476,1547124554,0x8e60838f9745ab2f24d3cbac9326d0d1898fd4b6,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,5.50083895,NULL,0x,0
12,0x157c86c86a7ab4ebad7f5f54fe5ca242ba1eb234e34bec84ab856c4be329b149,7044989,1547163159,0x3e39ccad36ea7996b4e36154513d63b3de39cd34,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,24.022282540000003,NULL,0x,0
13,0x5afe713679bf06dc31a0870bc4a74fc7c23ee7938356f7e809e1da8d61694170,7045218,1547166426,0xdd7dc905d5f3b0b368137618a0cd0cfc48ce78a0,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,63.179139000000006,NULL,0x,0
14,0x072e0819205eb0ed90fb3820a900fdcc925bda6bd1106e64e105389b0b4e8646,7047603,1547203802,0x1d19a075c9c76dbdf74984b34e9041aad3b7a094,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,1.23431767,NULL,0x,0
15,0x416aeffca395fa5c33cb31598737c11614fd61d683c20b5d287694916ffc8659,7047968,1547209594,0xeae7bf433ac86b5ba3c1b02f541f504009888df6,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,28.22820668,NULL,0x,0
16,0x66c2f6d0234702b231c42b000cc8e6a89c4b4f64e5ccc61425ae02871533578d,7048009,1547210344,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0xecfb79a1373608d660251aae75a9761dec045651,50.0,NULL,0x,0
17,0xcb0644d806e454c6bec6868d5a67eb70da82077b1dbe562f011d150345dbd711,7049624,1547235164,0x86520316b8eaaacc5aefe436189be8dcd3f4b8e5,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,57.679003800000004,NULL,0x,0
18,0xcde5df4a44ba8e337b3a97f5e7d260e134600aec021088103819894888247b7a,7059722,1547391565,0x4f5698641f51cc5a37905c8c9ed5dd7a98ed20cd,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,19.999139,NULL,0x,0
19,0x9e893ed2b9ab7096d066b33c79bbcbaf73975981692f63d4d811df6afbd2ac05,7092253,1547893427,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0xd305a960c2ebcff51c26c6a29b1129dcd2a54fdc,25.0,NULL,0x,0
20,0x885ad91fab1f95bb345722ddb0f7c8cff560a091a2c8b8b3b3aee07af5815302,7123964,1548419180,0xe6bf49e5ba7787a3550be485f074ec07f9c86403,0x22076d95b5cdf389c7a2bc6b1c267b21e393ed78,173.082952,NULL,0x,0
