,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x1987ffba692ede3cdc2876fab2758be218336b6515cbb19f0350f9243962ef4b,5220422,1520540899,0xda79b996a60aa64fe2a743778c272d5544ea8af5,0xe704802a03e7657647b325edc2d045e76b3c1d73,4.65408711,NULL,0x,0
1,0xc2c758d54403ea5b37fd14f8d37c4cb5c6825a16671719ad4fa4b6b5a4dd83a8,5220423,1520540922,0xb2930b35844a230f00e51431acae96fe543a0347,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.45073214,NULL,0x,0
2,0xdd43a0ead5eb71f46c79347baa37b768a1c6b68001b76b5489ae0cb9ca9d7814,5225537,1520616521,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.9712379,NULL,0x,0
3,0x858169af0bbdca24ada3009922b334ad4d367b800b780c6bbc5e40f457e01fbb,5225722,1520619009,0xc851944a8ce56322b45d21fbce02d50618ad9e55,0xe704802a03e7657647b325edc2d045e76b3c1d73,5.0,NULL,0x,0
4,0xcc759c0cbeb4f05a5fc2a74df0832ec0cdb97124be18083755832605fe9c2f07,5225762,1520619542,0x4157d3d3e9c675a0bf9086ea175ea3fcf7978ae3,0xe704802a03e7657647b325edc2d045e76b3c1d73,1.011599,NULL,0x,0
5,0x3e1c81ad89202fabaea44cff9712cd7ef063534fc6e65c12b5af7a482a9f9017,5225816,1520620335,0x7aad0ec89c401af335e5245a0731c85d481789cb,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.007156,NULL,0x,0
6,0x18a019c910d8c6aafdd309568bf8bfddfdeec68ef79b69f0155e1f18ec1f5e55,5225819,1520620406,0x2a1cb3a32a368509249f7cb6b8f5ef22a85dc02c,0xe704802a03e7657647b325edc2d045e76b3c1d73,1.95,NULL,0x,0
7,0x2fbb349e89d904800e01d0e5a1432a245720fd1d48e8dc580087796a8fac85e2,5225856,1520620992,0x073bf48c3d56818f1221ed7d7bf12dc3af59ed8d,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.51,NULL,0x,0
8,0x6339ed7558e529842cdb3673ef59e2e1fd481bddc27fb36f0742ba64cc21112f,5225991,1520622794,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.5,NULL,0x,0
9,0xd750c98dc35379f9b22387e17bce6772f0676996df715dd2753b5a9573ba5dba,5226000,1520622983,0x24a7eaad0d7f13d1999206d8c22f926980a12ca6,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.5,NULL,0x,0
10,0x17d75981517491911eba77fe0ca889d6a355661e90672c39ed3dc1ee2f581bd2,5226259,1520626766,0x49a8c07860f1351140744c1abbe5e62601ba1237,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.5,NULL,0x,0
11,0x94fa00dfe0c677739737e8f65061dd0f0c8fa71d373d4257f4bfe40d316fc04a,5226411,1520628739,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xe704802a03e7657647b325edc2d045e76b3c1d73,3.99006707,NULL,0x,0
12,0x2f9b60392da3aac941bccd429b94f6d018b812638b8c64a9ae44e68f95222081,5227256,1520641099,0xe704802a03e7657647b325edc2d045e76b3c1d73,0x8b03bbe38069a34d1ab6db2f545f6cb8cd2d6a1e,20.04401822,NULL,0x,0
13,0x57bb9db4766e7cf73cf09dbbc1a07542ae1f45d147fe1093e3e30d7624458360,5227665,1520646768,0x5044eac1ff33f32f17206f71fed59613cbde88b2,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.05019733,NULL,0x,0
14,0x449bdf811c306c31c6d8553c6bcb085c65584ae622b96cf7c47c77ac96f9913f,5228214,1520654864,0x018104eb743db749e15dd00d225ebf2cb8938527,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.6,NULL,0x,0
15,0xa8312fce51d98f80c6b59f1d30762b58d1594ab5071899fa59f21f663b4968d9,5229134,1520668611,0x990350f81783d6d9c8da4c3c4a0c29d26be1410f,0xe704802a03e7657647b325edc2d045e76b3c1d73,0.3,NULL,0x,0
16,0x2acdb9f914fc7e4be467b412a6461be57f513f31d9b977d348be6830cc66dd9e,5229665,1520676822,0xe704802a03e7657647b325edc2d045e76b3c1d73,0x8b03bbe38069a34d1ab6db2f545f6cb8cd2d6a1e,0.94933633,NULL,0x,0
