,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x2981a325a7274970f71163c529e73f97f935ea884f03a59b6c90ac874688cbb5,6404376,1537984906,0xb82293f83efb787f26edf0f12ed22f1bc44b2b84,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.042,NULL,0x,0
4,0xdcabe2c7cdff0317dacba66fe43862deca9774d7051a39d7912ae7fc8fac74c2,6409213,1538053727,0x38d23ecd6169b9d44004a0fab7ac0f3c695a6d29,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.03,NULL,0x,0
6,0xf42d74ed67dbdda83e52b469451dfe569259547269447688876a46061de942e9,6410135,1538067194,0xafdee562d06d812f27e04e93598ecf220b800a23,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.03,NULL,0x,0
7,0xf3e0edb9918e576ef3c3a8324d2190356e2b2adef7e4be5c786ca87dd11f52e1,6410283,1538069377,0xa302553cb85bd0f626d213264bf629debb1bf8c5,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.01,NULL,0x,0
8,0x6b4f98a86b31a495753f2ecc2c81dd819a86a7b06624e4fdad38707e7e440112,6410418,1538071256,0x3c542bcdf91c2bdacb1414813eb8c8c7440067c0,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.01,NULL,0x,0
12,0x4ddf09ba95e0e2e4cab1d663b2cadcb55f51aecb6a841cc726458978116fc18c,6413015,1538107503,0xedb5e2d5ceaccdc2b885d4a605a5a3caf82fc566,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.0001,NULL,0x,0
13,0xe6bdf35898c278936f995da5d7f8c8ece3e38aee0bccea9ea04abc236b1ff01d,6413054,1538108017,0xedb5e2d5ceaccdc2b885d4a605a5a3caf82fc566,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.05,NULL,0x,0
14,0x8f2250286d04e30cdeffe409b3b33da23f6bf892b8417ba73f54268a1c92cd65,6413204,1538110163,0x0fd955d29d88a2b7258f8b364cdfe36c2996438a,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.01,NULL,0x,0
19,0x720223bb612bdc789d535c9079396c8feaa136a9be8a62c7a0dec86c5652fbac,6418641,1538187776,0x3169105363100b6631f820fad4b484016743419b,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.05,NULL,0x,0
20,0xdbea81dd37a2d16c816584221bdaa9503fe9b99a341024937a0543d9766fa950,6418695,1538188629,0xe6a8589ddb49c2d263aa8437f96c4b37080bf433,0xfd1edc29754b65f1f45b885589c90811054be7a9,0.2,NULL,0x,0
