,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x33b801202c147b070b60623c4e7d011fe2e9d252f7cb40489c80eea890d46b2b,5195314,1520172418,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.3,NULL,0x,0
1,0x65be632bc7ff24093d7dee91251c564a715cba152871bbdf7841bd2b072c8867,5195414,1520174123,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.394,NULL,0x,0
2,0x67bade8386e858ae9cefe9db49c58de7b05b5a2725ddb6060473558d37b1fc71,5195434,1520174477,0x913e1778d71dfc1944ec62436bf0fe90cd82693d,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.3,NULL,0x,0
3,0x6a7944c79db262718db25b66fc701a593b3ffc3e8ec2f45dfae195a3d2d28af5,5195810,1520179882,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.39,NULL,0x,0
4,0xfebb6dc23ab6b1ab16cc34a8a63509045f933205fbe5e158357c6d6ca412d7c3,5195846,1520180426,0x7eee1ec1ebfca72baef8c6b5a2ea112f752def4a,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.295,NULL,0x,0
5,0x89b9a51d02439ab3033976c62e837a145c1284b4ea03da9e5a0df114f4f955e9,5196154,1520184970,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xfddbfa1b0b93612b95e3296690b63b74d019370c,1.0,NULL,0x,0
6,0x8a8e3f667b0275af6f0b38c307480d5cb6427cf30560880e5ae48ec3e3e89b36,5197622,1520206366,0x2163d61d291d292c71e87238f91240658d616d4e,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.5,NULL,0x,0
7,0x079a043d8aa1c2d74b93d592ba2120a89938ff3f43b074fbcc04b009b6318fa3,5197925,1520211018,0x33d801d50eeac5851f478740ca042dc8f6bf7455,0xfddbfa1b0b93612b95e3296690b63b74d019370c,1.0,NULL,0x,0
8,0xcb29485a680f746ca766d6e54a22c7cd37f8437a0a16251a5bb468d174b9b926,5198380,1520216833,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.19,NULL,0x,0
9,0xb6b340690adc5e41a90322d8ffeb08ae27ce06fca20db914dca1d0e8b84a1dfa,5198449,1520217662,0x6fa1aff85c0c9aedf387ec8a3f4e13fe8ea70cde,0xfddbfa1b0b93612b95e3296690b63b74d019370c,0.34,NULL,0x,0
