, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1459972815, 0xae7507b44bd9394bb9194a839f29b663af1fef01, , 0.0
0, 0, 0, 1459973014, 0xd678de961ca01bbaea3e0b347141cd1ed8f10c36, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.5
0, 0, 0, 1459973014, 0x9d3baa3b83a3e4e7171d2dd73cdbd8ef5dae4012, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 1.0
0, 0, 0, 1459973155, 0xe8b0109e7c758645af9c5ecef9622d647d6fe21d, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 3.0
0, 0, 0, 1459973555, 0x54e85949768cbf73257404bc9b6e291380e0f956, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.5
0, 0, 0, 1459973699, 0xe2e404bb8de94ffd8c654b2c59fc554bd8c761c7, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.1
0, 0, 0, 1459973870, 0x9d3baa3b83a3e4e7171d2dd73cdbd8ef5dae4012, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 2.8000000000000003
0, 0, 0, 1459973963, 0xe8b0109e7c758645af9c5ecef9622d647d6fe21d, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 2.0
0, 0, 0, 1459974004, 0x5dec981c2216c6390475dd891909a4b023919267, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 1.0
0, 0, 0, 1459977151, 0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.6056400000000001
0, 0, 0, 1459977423, 0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.01
0, 0, 0, 1459977617, 0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 2.64
0, 0, 0, 1459980936, 0xb5735aa45cc756430151bf460a647a33ec2c057d, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.5
0, 0, 0, 1460095288, 0xae7507b44bd9394bb9194a839f29b663af1fef01, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.0
0, 0, 0, 1543931818, 0x3d6ece242b1696ab8be17bf1a30ea9e98978ea64, 0x1afd952269873fe009c7bdff5f07fd91605a7227, 0.0
