, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1478958528, 0x1d8850ff087b3256cb98945d478e88baef892bd4, , 0.0
0, 0, 0, 1478974384, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1478974718, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1478974903, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1478976728, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1478980113, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1479036324, 0xd3077172895e9f34a1efa2867590b87d40eaac4f, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 19.0
0, 0, 0, 1479072260, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479129279, 0x466925df03068da6b37ec8e96fd7528c8384d0c6, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 4.0
0, 0, 0, 1479129773, 0x466925df03068da6b37ec8e96fd7528c8384d0c6, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 4.0
0, 0, 0, 1479129936, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479157791, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479225856, 0xa9173283d31326added762d6e9fdd4e0e1e69f5e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 3.0
0, 0, 0, 1479236850, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479284258, 0x1d8850ff087b3256cb98945d478e88baef892bd4, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479326835, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479368267, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479406428, 0x8d98b4360f20fd285ff38bd2bb2b0e4e9159d77e, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479457451, 0xcd31dc798ec0d31b269a93dedc16b8ed32e99932, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 0.0
0, 0, 0, 1479461064, 0x6ce42de25ede3692f31037b008108655d9a5bcf4, 0x723dff0e27cc38b80556f5e05dfdbdcb721654d7, 2.99
