, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1458947162, 0x522c167169719fb5491acbc6bb53ad873a357ba9, , 10.0
0, 0, 0, 1458965786, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 7.500000000000001
0, 0, 0, 1458966312, 0x5c119783b3e8b2802fb154257830a95f0efd5c26, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 25.000000000000004
0, 0, 0, 1458966950, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1458966980, 0x5c119783b3e8b2802fb154257830a95f0efd5c26, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1458967314, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 100.00000000000001
0, 0, 0, 1458967343, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 100.00000000000001
0, 0, 0, 1458967360, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 100.00000000000001
0, 0, 0, 1458967386, 0x5c119783b3e8b2802fb154257830a95f0efd5c26, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 25.000000000000004
0, 0, 0, 1458968861, 0x5c119783b3e8b2802fb154257830a95f0efd5c26, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 30.000000000000004
0, 0, 0, 1458968879, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 3.2500000000000004
0, 0, 0, 1458968904, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 7.3100000000000005
0, 0, 0, 1458969326, 0xfcb8d083e3a5986c2eeea6edec7def8b7a4cbbae, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 79.0
0, 0, 0, 1458969368, 0x0927f6c451d6a04e6b170278dae37c9a835f874f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 11.0
0, 0, 0, 1458969418, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 73.0
0, 0, 0, 1458969480, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1458986181, 0x5c119783b3e8b2802fb154257830a95f0efd5c26, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 15.000000000000002
0, 0, 0, 1458986277, 0x0927f6c451d6a04e6b170278dae37c9a835f874f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 17.5
0, 0, 0, 1458987042, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 13.000000000000002
0, 0, 0, 1458987090, 0xfcb8d083e3a5986c2eeea6edec7def8b7a4cbbae, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 40.0
0, 0, 0, 1458998007, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 0.0
0, 0, 0, 1459001526, 0x0927f6c451d6a04e6b170278dae37c9a835f874f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1459001737, 0x0927f6c451d6a04e6b170278dae37c9a835f874f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1459001818, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1459001892, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1459001977, 0x0927f6c451d6a04e6b170278dae37c9a835f874f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 1.0
0, 0, 0, 1459002055, 0x522c167169719fb5491acbc6bb53ad873a357ba9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 0.0
0, 0, 0, 1510104576, 0x0331d12f7d48f7a7584c6c2e0b7204c2176618f9, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 0.0
0, 0, 0, 1638529424, 0x12427a51286a7f868e25c594bd0434d38ff1902f, 0xa502f8112b2491718855f01a01a60462cc97a0d5, 0.0
