, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1500535757, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, , 0.0
0, 0, 0, 1500535932, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.0
0, 0, 0, 1500538049, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.0
0, 0, 0, 1500553372, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.0
0, 0, 0, 1500555243, 0x83690868d0ee5b1fc0a23a92df478e5f6aa4ee34, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.1
0, 0, 0, 1500894124, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 1.0
0, 0, 0, 1500894231, 0x959bb1a6ed4a3913db5a11b5ce6ca0558c26e4d6, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.02
0, 0, 0, 1500894231, 0x83690868d0ee5b1fc0a23a92df478e5f6aa4ee34, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.030000000000000002
0, 0, 0, 1501648443, 0xff54308621eeddf887aa2d1470b480e2c0a195f5, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.1
0, 0, 0, 1506720256, 0x6239f1ac70c68b34dd701d3d5be9e52ab58a3185, 0xf062783c821e2f5a1d3768a20d2c281d134e0c92, 0.001
